gene,shoot_control_1,shoot_control_2,shoot_control_3,shoot_ABA_1,shoot_ABA_2,shoot_ABA_3
AT1G05990,0,19,10,2,3,2
AT1G06000,3693,7661,2930,2148,6796,4836
AT1G06002,2214,4913,1926,1319,4315,3269
AT1G06010,500,657,447,756,661,617
AT1G06020,20,13,12,18,10,20
AT1G06030,8,17,8,8,19,20
AT1G06040,7197,10484,4655,6295,13926,8024
AT1G06050,353,690,301,434,655,411
AT1G06060,1038,1458,831,1548,1731,1175
AT1G06070,1138,2106,1187,1684,2277,1677
AT1G06080,227,249,166,562,763,459
AT1G06090,103,141,162,85,99,198
AT1G06100,97,212,69,369,651,322
AT1G06110,1371,2116,1126,2994,3267,2198
AT1G06120,15,21,6,2,10,9
AT1G06130,1560,2422,1332,2602,2646,1797
AT1G06135,4,2,14,16,6,4
AT1G06137,0,5,0,2,0,2
AT1G06140,126,145,102,119,97,96
AT1G06148,2,8,7,11,18,4
AT1G06149,2278,3301,2035,2280,2889,2311
AT1G06150,2533,3712,2234,2596,3127,2557
AT1G06160,592,1556,811,232,380,209
AT1G06170,22,12,10,10,18,16
AT1G06180,1219,1554,1065,1232,1853,1770
AT1G06190,5634,7364,4066,5722,5070,4051
AT1G06200,2045,3255,1716,3373,2997,2359
AT1G06210,1177,2128,1291,2084,3207,2404
AT1G06220,5342,8844,5416,5522,6351,5668
AT1G06225,0,0,0,0,0,0
AT1G06230,3124,4571,3033,5197,4742,3973
AT1G06240,679,1155,582,713,1085,689
AT1G06250,121,169,93,191,128,105
AT1G06260,137,129,95,230,133,154
AT1G06265,257,261,183,498,306,271
AT1G06270,248,374,276,271,466,452
AT1G06280,0,0,0,0,0,0
AT1G06290,3349,6187,2966,6750,6914,5040
AT1G06310,31,31,36,33,19,34
AT1G06320,8,10,11,13,8,14
AT1G06330,18,32,15,10,8,25
AT1G06340,2,0,2,0,0,0
AT1G06350,124,217,167,144,159,121
AT1G06360,971,1364,792,1190,1315,1023
AT1G06380,850,1476,886,601,756,806
AT1G06390,4211,7345,3337,5803,6133,4452
