gene,root_control_1,root_control_2,root_control_3,root_ACC_1,root_ACC_2,root_ACC_3
AT3G57630,3258,3336,5153,3120,2595,3936
AT3G57640,42,62,81,83,59,86
AT3G57645,15,2,7,22,13,8
AT3G57650,6782,6260,8247,5805,5003,5937
AT3G57660,5444,4877,6060,5029,3535,5357
AT3G57670,167,156,330,208,157,218
AT3G57680,7,7,13,0,2,11
AT3G57690,4,4,0,2,2,0
AT3G57700,213,141,225,163,207,223
AT3G57710,1763,1639,2065,1519,1360,1709
AT3G57720,84,56,75,63,53,41
AT3G57730,467,328,469,445,334,467
AT3G57740,130,101,150,199,92,122
AT3G57750,632,608,945,945,547,856
AT3G57760,240,194,240,297,195,251
AT3G57765,74,52,86,40,26,54
AT3G57770,97,90,129,75,64,99
AT3G57780,667,444,767,675,350,512
AT3G57785,2700,2786,3017,2502,2355,2125
AT3G57790,1164,1077,1599,1444,1014,1478
AT3G57800,619,603,804,710,511,714
AT3G57810,958,1064,1115,917,1082,1165
AT3G57830,631,669,888,608,591,712
AT3G57840,0,0,0,0,0,0
AT3G57850,0,0,0,0,0,0
AT3G57860,1897,1647,1604,1376,1431,1395
AT3G57870,10388,8507,12656,11421,8067,10016
AT3G57880,3051,2369,3044,2848,2120,2831
AT3G57890,6751,6012,8438,6839,5190,7026
AT3G57900,2,18,5,2,20,8
AT3G57910,690,712,928,738,697,820
AT3G57920,166,217,294,141,179,213
AT3G57930,3049,2661,3426,2883,2185,2627
AT3G57940,3329,3054,3754,2785,2490,3136
AT3G57950,761,976,876,558,798,552
AT3G57958,0,0,0,0,4,1
AT3G57960,5,3,0,0,10,2
AT3G57965,1593,1434,1846,1438,1213,1713
AT3G57970,1302,1163,1512,1183,935,1412
AT3G57980,1355,1066,1648,1444,789,1464
AT3G57990,1755,1508,2332,1878,1323,2033
AT3G58000,65,86,139,105,83,160
AT3G58010,748,590,883,874,449,767
AT3G58020,1394,1340,1364,1305,1222,1318
AT3G58030,5432,5215,6716,5980,4627,6203
AT3G58035,2,0,2,0,0,0
AT3G58040,3410,3202,4597,3852,2960,4127
AT3G58050,3463,2827,4226,3543,2406,3781
AT3G58060,118,61,73,144,34,32
AT3G58070,5,0,6,2,6,4
AT3G58080,0,0,0,0,0,0
AT3G58090,603,543,654,523,542,584
AT3G58100,660,566,767,576,455,567
AT3G58110,5291,5164,7018,6020,4346,5677
AT3G58120,2996,3507,5165,2886,2509,3893
AT3G58130,1480,1498,1611,1419,1257,1451
AT3G58140,3508,3202,4198,3448,3087,3840
AT3G58150,75,72,143,88,110,150
AT3G58160,413,406,456,430,383,438
AT3G58165,4,1,2,2,2,4
AT3G58170,3033,2640,3546,3276,2599,3087
AT3G58180,2560,2279,2800,2271,2246,2610
AT3G58190,47,34,36,67,24,44
AT3G58193,2,0,4,2,0,4
AT3G58196,10,4,7,8,1,4
AT3G58200,242,249,405,239,272,336
AT3G58210,12,4,12,22,2,16
AT3G58220,1934,1862,2335,1826,1575,2144
AT3G58230,0,0,0,0,3,2
AT3G58240,0,0,0,0,0,0
AT3G58250,0,1,0,0,0,0
AT3G58260,2,0,0,2,0,0
AT3G58270,1301,1296,1263,1327,1067,1085
AT3G58280,4,4,0,4,4,8
AT3G58290,0,0,2,0,0,0
AT3G58300,0,0,0,0,0,0
AT3G58310,0,0,0,0,0,0
AT3G58320,0,0,0,0,0,0
AT3G58330,0,0,0,0,0,0
AT3G58340,0,0,0,0,0,0
AT3G58350,629,491,736,657,424,649
AT3G58360,0,2,0,0,0,2
AT3G58370,0,2,4,2,0,2
AT3G58380,56,40,49,43,40,60
AT3G58390,1,3,0,0,0,2
AT3G58400,0,0,0,0,0,0
AT3G58410,0,0,0,0,0,0
AT3G58420,0,0,0,0,0,0
AT3G58430,187,203,201,200,165,218
AT3G58440,2,0,0,1,0,2
AT3G58450,10,6,10,2,2,3
AT3G58460,4094,3873,4885,4034,3678,4408
AT3G58470,2115,2079,2080,1865,1720,1769
AT3G58480,0,2,4,4,1,2
AT3G58490,1780,1425,1676,1530,1549,1754
AT3G58500,17996,17281,19150,16167,16331,17464
AT3G58510,6741,6210,8821,6701,5230,7195
AT3G58520,488,472,537,425,418,503
AT3G58530,1335,1217,1486,1380,1026,1222
AT3G58540,198,196,270,243,181,232
AT3G58550,13002,6138,11207,11202,5227,8861
AT3G58560,6107,5193,7059,5963,4111,6035
AT3G58570,2917,2727,3883,3324,2222,3047
AT3G58580,4319,4000,5722,4233,3373,4610
AT3G58590,318,329,398,363,255,267
AT3G58600,3387,3290,4435,3756,3180,3896
AT3G58610,39881,37946,45056,37325,32974,38793
AT3G58620,1668,1874,2081,1583,1182,1253
AT3G58630,1397,1292,1712,1466,1108,1489
AT3G58640,6133,6181,7938,6523,5453,6988
AT3G58650,2174,2060,2280,1992,1495,1511
AT3G58660,9367,9512,10832,8319,7808,8517
AT3G58670,2707,2206,2436,2541,2171,2470
AT3G58676,0,0,0,0,0,0
AT3G58680,9079,8765,10564,9424,8341,9505
AT3G58690,717,706,786,682,600,631
AT3G58700,8385,8452,8377,6982,7341,7463
AT3G58710,1419,1433,2278,1706,1469,1796
AT3G58720,578,381,739,601,333,664
AT3G58730,9881,10147,13024,11834,9506,10427
AT3G58740,0,1,2,2,2,0
AT3G58750,5561,4854,6407,6442,4061,5740
AT3G58760,2029,1723,2654,2198,1546,2220
AT3G58770,171,106,152,136,58,100
AT3G58780,404,301,538,460,258,462
AT3G58790,2124,2012,2892,2104,1609,2137
AT3G58795,342,409,589,394,253,410
AT3G58800,725,830,949,715,714,663
AT3G58810,2255,1461,1532,2336,896,1185
AT3G58820,371,374,384,332,391,352
AT3G58830,741,755,1040,694,713,811
AT3G58840,2567,2832,3618,2576,2406,2816
AT3G58850,316,257,334,208,182,170
AT3G58860,22,26,38,25,28,27
AT3G58877,0,0,0,0,0,0
AT3G58880,0,0,2,0,0,0
AT3G58890,1,0,0,0,0,0
AT3G58900,1135,1306,1343,1248,973,1267
AT3G58910,4,0,6,2,2,2
AT3G58920,4,3,8,4,0,12
