,root_control_1,root_control_2,root_control_3,root_IAA_1,root_IAA_2,root_IAA_3
AT3G13340,5722.00915534826,6205.36099784563,5392.00273907565,5415.64016114416,6209.81597578076,5591.62204189346
AT3G13350,1805.99655606875,1968.22508043134,1642.58015121116,1646.12440955261,2133.45287296693,1752.3367179714
AT3G13360,3065.362047508,3270.09527912738,3391.97427026862,3144.4052163184,3070.54783913103,3418.18913258816
AT3G13370,0,1.10141302766163,1.68210972986294,1.98447788975601,0,0
AT3G13380,2947.57966341656,2318.47442322773,2826.78540103467,10584.2128250137,5944.3057353676,7727.99024976105
AT3G13390,10.0668704351658,3.30423908298489,9.25160351424617,11.9068673385361,2.08243325814244,3.08872511980857
AT3G13400,2.01337408703317,1.10141302766163,3.36421945972588,3.96895577951203,2.08243325814244,8.23660031948953
AT3G13403,115.769010004407,92.5186943235771,92.5160351424617,70.4489650863385,66.6378642605581,76.1885529552782
AT3G13404,182.210354876502,179.530323508846,177.46257650054,122.045390219995,137.440595037401,141.051780471258
AT3G13405,28.1872372184644,23.1296735808943,26.913755677807,19.8447788975601,17.7006826942108,17.5027756789153
AT3G13410,16000.2838696526,17484.9318141284,16069.1942493807,15980.0082072603,16328.3591770949,14042.3739696897
AT3G13420,367.440770883553,442.768037119976,407.911609491763,411.779162124373,495.619115437901,410.80044093454
AT3G13430,1103.32899969418,1239.08965611934,1198.50318252734,1908.07549100041,1581.60805955918,1588.63428662154
AT3G13432,207.377530964416,250.02075727919,200.17105785369,264.927798282428,166.594660651395,154.436255990429
AT3G13433,15.1003056527488,26.4339126638792,21.0263716232867,3.96895577951203,4.16486651628488,4.11830015974477
AT3G13435,843.603742466898,732.439663394985,1010.94794764763,830.503996862892,795.489504610413,755.708079313164
AT3G13437,89.595146872976,149.792171761982,100.085528926845,136.928974393165,83.2973303256977,79.2772780750867
AT3G13440,5509.59818916627,5718.53643961919,5075.76610986142,5153.68907969637,5727.73267652078,5081.98239712504
AT3G13445,2963.68665611282,3296.52919179126,3122.83671349055,3298.20225277449,3843.13057790188,3254.4867012383
AT3G13450,1540.23117658037,1642.20682424349,1437.36276416788,1577.65992235603,1521.21749507305,1346.68415223654
AT3G13460,33445.1636467515,30219.4692399522,27628.6523129988,33035.6034307684,32734.8096013701,30908.8722739244
AT3G13470,6162.93808040853,8838.83954698459,7420.62707329036,8067.89486080307,11295.1179921646,7601.3525198489
