genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT4G28910	1783.78165845442	0.883708059033615	0.145425536224821	6.07670483447586	1.22677271379991e-09	3.12055319487519e-08
AT4G07855	252.952059310515	0.883398268191177	0.158932189115243	5.55833448912364	2.72361056745058e-08	5.42248205759071e-07
AT3G55560	341.133556107791	0.882805136769607	0.175845176056729	5.02035459013562	5.15761817230684e-07	7.53654947010046e-06
AT4G04750	717.634211750953	0.882444826179073	0.116446260799638	7.57812934583998	3.50572805880592e-14	1.79128192076634e-12
AT4G34630	1664.7325847295	0.881605432533415	0.132837873059341	6.63670241196643	3.2077834207787e-11	1.09349047336516e-09
AT4G23170	431.960412466916	0.881341222204852	0.182903650235199	4.81860925723199	1.44562355231925e-06	1.90902078674231e-05
AT1G26770	1745.16948217435	0.881248184259496	0.278132687088072	3.16844522478023	0.00153256624939704	0.00761510089981118
AT1G23440	1111.40809533736	0.881205394211036	0.157544055740051	5.59339030642345	2.22677932747105e-08	4.5025118262998e-07
AT3G27420	346.239234531991	0.881040251043364	0.130775429019609	6.73704730046236	1.61637574288704e-11	5.84111868997376e-10
AT5G39350	183.542701338339	0.87919771088982	0.142262302592699	6.18011725430165	6.40540092700647e-10	1.73270897279219e-08
AT3G52870	1976.63358669523	0.879164764976944	0.137219130548041	6.40701308531573	1.48398087451566e-10	4.52585220416329e-09
AT4G09750	620.981298889528	0.877904978119589	0.116439594426383	7.53957433847498	4.71507960743914e-14	2.37302064449078e-12
ath-miR863-3p	33.2302698251279	0.877848253298717	0.274564406716028	3.19723981632712	0.00138749519620215	0.00701933831356021
AT5G53750	247.286264428132	0.877300773958173	0.268427237026407	3.26830013107749	0.00108195565144491	0.00572672216053653
AT1G16730	1537.2987605085	0.877230211746652	0.202162321501366	4.33923693214378	1.42978307628296e-05	0.000140598333283288
AT1G68670	2352.60660965429	0.875812905119917	0.146294862133405	5.98662791261439	2.14236118046939e-09	5.19057817825916e-08
AT1G51950	1277.67303076035	0.875286848029541	0.152060489616856	5.75617538937947	8.60409923997689e-09	1.86154925715109e-07
AT4G11690	50.1476717797358	0.874757932598461	0.264692043116664	3.30481385952697	0.000950394971277186	0.00514534008803413
AT5G59080	806.390031918464	0.874625591491161	0.179249149488153	4.87938488962798	1.06417211071036e-06	1.45612768450934e-05
AT3G01930	471.580941119132	0.874249586885288	0.166546020773747	5.24929735831369	1.5268044884267e-07	2.52525709922929e-06
AT5G24430	415.750771128198	0.874151916401753	0.179698905557555	4.86453667421905	1.14725234388333e-06	1.55528955035236e-05
AT5G46830	643.105857160663	0.874038861305862	0.191026490365319	4.57548510488965	4.75117771379067e-06	5.35975810108382e-05
AT2G28650	105.943603225233	0.873757406795182	0.216817854544992	4.02991445805432	5.57971543480481e-05	0.000454694461752874
AT3G51660	1018.7166947012	0.873520790359753	0.171848102952389	5.08309824404501	3.71327512553803e-07	5.59328461909078e-06
AT5G52120	373.407247253255	0.873316096745253	0.227148095407178	3.84469918261817	0.000120700412014756	0.000888508086309499
AT3G23370	49.1024224787245	0.869977322126854	0.241054275597817	3.60905161283409	0.00030731846765787	0.00196819771217368
AT2G39300	49.6989965594127	0.86968171125906	0.275632781308425	3.1552187193798	0.00160377826754068	0.00791028637405499
AT1G11960	406.301085741619	0.869412014794452	0.190111763065454	4.57316265325002	4.80416900465722e-06	5.40912989276168e-05
AT2G47880	742.229348051581	0.868994346843839	0.182488396003598	4.76191563888099	1.91763850262786e-06	2.424494652406e-05
AT5G20670	174.50703961272	0.86838461690576	0.216491687595875	4.01116840350366	6.04189928353796e-05	0.000487446384233973
AT4G38060	614.276879218959	0.867519089280179	0.177384007140534	4.89062742050291	1.00515065534157e-06	1.38181701756892e-05
AT1G59910	661.131261343485	0.865548001238122	0.132249398590072	6.54481616147852	5.95686168860382e-11	1.94848364271723e-09
AT2G41490	427.959590516745	0.864810810425859	0.141198184624163	6.12480119859744	9.07969012040673e-10	2.37133599547772e-08
AT3G21750	1100.69057523182	0.864418630353906	0.209897301887116	4.11829319663574	3.81688881752566e-05	0.000326338499777494
AT4G06665	1383.91823279742	0.864240212927974	0.170962812963737	5.05513566339884	4.30084935255591e-07	6.38808232207054e-06
AT3G26960	761.965617060717	0.863531635651556	0.120996622553814	7.13682429662444	9.55118042567118e-13	4.18698756118254e-11
AT5G13190	702.578689424086	0.862728290780351	0.161302363952144	5.34851610132825	8.86782880944714e-08	1.55671548703566e-06
AT2G33210	1022.51484019489	0.862211315895571	0.0951303002418181	9.06347729066194	1.26356725997679e-19	1.13978626723983e-17
AT5G61030	686.316340612609	0.861611083989239	0.1492624581574	5.77245674917571	7.81240012197238e-09	1.7044113494011e-07
AT2G46310	362.440877465284	0.861533905772856	0.168524876329813	5.11220612965641	3.18418097414848e-07	4.88734269546493e-06
AT5G18130	698.131234791798	0.860589413273507	0.189265911979284	4.54698579513728	5.44196695979773e-06	6.02314540387618e-05
AT4G23190	104.763817924678	0.859596508838746	0.212806662645512	4.03933080925497	5.36039182137539e-05	0.000438650625913178
AT1G72510	1534.7749951494	0.859428602573145	0.159563484585645	5.38612330261471	7.19935831861012e-08	1.29087576946761e-06
AT1G69720	118.709332446988	0.858847332237802	0.271540185959642	3.16287377208119	0.00156220051732662	0.0077371177375815
AT4G22790	173.543747568658	0.858409406733729	0.154733708039962	5.54765614814862	2.89524556548132e-08	5.71086579034763e-07
AT2G25625	461.194876011715	0.858305958273509	0.115261305817322	7.44660970294613	9.57694046457987e-14	4.66960467184598e-12
AT1G22190	385.060922873519	0.858110959780791	0.182798459482295	4.69430082841536	2.67520110963071e-06	3.22081579179513e-05
AT4G39530	69.9665960447525	0.857647824753726	0.223589517201481	3.83581410921373	0.000125149042605166	0.00091837312147026
AT1G56130	79.0322875249875	0.857456597854825	0.19620679296601	4.37016774441325	1.24151127435644e-05	0.000124611035728063
AT3G13880	85.4980792846741	0.857184174269336	0.213532774812719	4.0142979222798	5.96229994333292e-05	0.00048147021165157
AT5G23810	350.712296712698	0.857113285477853	0.216718841915107	3.95495508329451	7.65490319369414e-05	0.00060003490842817
AT5G60100	143.134289158455	0.856262153677151	0.261603828909795	3.27312546320721	0.00106365252660786	0.00564896800419705
AT4G39030	245.427436593974	0.856236895216091	0.162416911171173	5.27184570277718	1.35058602058624e-07	2.25768310340764e-06
AT5G57190	334.983517084076	0.85621214140076	0.122178766508175	7.00786368917444	2.41984382499395e-12	9.99165444147591e-11
AT5G07340	2190.90461087929	0.855680552221109	0.12689126499019	6.74341572910681	1.54705722573719e-11	5.63402688124447e-10
AT4G39952	73.4878765727077	0.855674611051555	0.203848670023489	4.19759722225785	2.6976186013085e-05	0.00024286851845101
AT1G30110	64.3611892504673	0.855602735610179	0.19346499367064	4.42251964749126	9.75564746588243e-06	0.000100925981480962
AT3G22890	20188.9710198086	0.855331189364198	0.0760763878041004	11.2430573276784	2.50551969427587e-29	5.20017286635858e-27
AT3G09795	790.785133941995	0.855086612743656	0.124819603186224	6.85057948364017	7.35514309450579e-12	2.8325151230779e-10
AT2G28500	293.603417991793	0.854759985746323	0.260881935648751	3.27642457735044	0.00105130387827238	0.00559098182701183
AT2G28550	5324.88615115618	0.854201417232664	0.14422519628278	5.92269200700442	3.16713678035235e-09	7.45023660076265e-08
AT1G13410	69.7733177356713	0.85393472078665	0.232929388894032	3.66606689195041	0.00024630952222923	0.00163229647494833
AT3G56320	280.388131935815	0.853513321571166	0.161687464578621	5.27878474559259	1.30043461165108e-07	2.18474877844217e-06
AT5G23850	245.98046498307	0.853280335175443	0.153890335327439	5.54472984518411	2.94408370089712e-08	5.77992665190855e-07
AT1G23830	42.2759394975121	0.853092518956992	0.234883181089918	3.63198639850851	0.000281247948922322	0.00182869646411844
AT4G25390	179.001718440362	0.852062070145095	0.260613200508231	3.26945092759483	0.00107756426421862	0.00571250332023492
AT1G61600	356.188567509351	0.851856640851965	0.160005544121915	5.3239195274565	1.01554847540334e-07	1.76296509205288e-06
AT3G08760	629.896750441977	0.850432846871594	0.139631471316748	6.09055278764788	1.12521473259528e-09	2.87782564051877e-08
AT3G12770	77.3484615291078	0.849645084530969	0.218013423510115	3.89721454234927	9.73054123835092e-05	0.000743087808334384
AT2G39725	81.8701717268438	0.846923386833508	0.204337849210941	4.14472105928461	3.40227605841533e-05	0.000296189979205697
AT3G28640	72.1495292934242	0.846875684670628	0.191166726834567	4.4300370608087	9.42168952715847e-06	9.79897492152761e-05
AT1G19510	37.7079100982047	0.845825074869388	0.253164299093075	3.34101244883041	0.000834734802076967	0.00459662721603923
AT1G01140	2138.23683557031	0.844940108455181	0.117207579322383	7.20892039013235	5.63972196663129e-13	2.55344400161011e-11
AT4G14040	11514.6408000413	0.844861435725582	0.106845958959563	7.9072848795838	2.63063168290327e-15	1.54240512147826e-13
AT2G09735	883.798600795124	0.844677368701799	0.0965008774772771	8.75305376265303	2.07655701999783e-18	1.62881243444846e-16
AT3G28940	2471.86020633428	0.84454889469758	0.138442635832327	6.10035260900728	1.05834733548571e-09	2.72755303362849e-08
AT4G04790	182.109563901458	0.844362709358267	0.150022549899021	5.6282386209713	1.82059117671462e-08	3.75204963686187e-07
AT3G24000	131.666363657636	0.843757325791248	0.204844287544851	4.1190180888325	3.80490280938979e-05	0.000325580522371262
AT3G01350	165.067583132737	0.842979312550632	0.154924231219556	5.44123605400357	5.29121458757137e-08	9.77911554678486e-07
AT5G47070	313.723129057542	0.842842872317955	0.181101851433139	4.65397159470302	3.25601678056079e-06	3.820078116783e-05
AT1G16060	402.401501177033	0.842722581537926	0.148459126175869	5.67646195451544	1.37509120738976e-08	2.89757538965966e-07
AT1G01720	1008.01894362373	0.842691343849922	0.225447461250616	3.73786131445124	0.000185592267346635	0.0012851182303161
AT5G43190	251.56554633774	0.84253636334328	0.166328794981573	5.06548708800916	4.07357390654356e-07	6.08131946722891e-06
AT1G56690	78.0235767914515	0.84154016218104	0.243066574767028	3.46217970524179	0.000535819256947709	0.00315981117254076
AT3G62270	118.145328981279	0.841531136014873	0.162776978020742	5.16984125302806	2.34292932334445e-07	3.71300686916639e-06
AT3G44400	121.175699387258	0.84093905764983	0.197568219070737	4.25644904633544	2.07699344651313e-05	0.00019414118507731
AT2G34310	2998.95809020016	0.840513757676056	0.109879829270091	7.64939082322405	2.01933638144095e-14	1.06425834053785e-12
AT3G55130	1107.09481942048	0.839737457360892	0.217028044643542	3.86925781292514	0.000109167159660016	0.000817203126558046
AT3G23560	145.711584514435	0.839661202855261	0.230238291315974	3.6469224908507	0.000265399937813819	0.00173818060361561
AT2G01730	52.6535741147916	0.83878876243507	0.258324165127358	3.24703947856189	0.00116612213137511	0.00610197731975465
AT2G32920	1660.82918785004	0.838434774517684	0.140902743208854	5.95045032781875	2.67405718842265e-09	6.37344138618662e-08
AT5G46780	194.437918410095	0.838069204952835	0.162438094116362	5.15931444229139	2.47855735355127e-07	3.90393590415299e-06
AT2G25490	3224.25748423168	0.837773318607636	0.154089234027206	5.43693609677961	5.4204567430662e-08	1.00020434299867e-06
AT4G15233	98.6275624528939	0.837723723316084	0.195856738295077	4.2772269701233	1.89235836109232e-05	0.000179391595160462
AT2G47885	507.338178875028	0.83594929190736	0.185238224456883	4.51283364628633	6.39671940645283e-06	6.94547501108973e-05
AT2G31060	1025.96900695144	0.835219213598222	0.109449739792507	7.63107537013441	2.32803516141572e-14	1.21332019201517e-12
