"genes","go"
"AT2G45580","GO:0020037"
"AT5G20740","GO:0004857"
"AT1G44810","GO:0006355"
"AT5G20050","GO:0004672"
"AT5G20050","GO:0005524"
"AT5G20050","GO:0006468"
"AT4G38470","GO:0004672"
"AT4G38470","GO:0006468"
"AT3G03650","GO:0006486"
"AT3G03650","GO:0016757"
"AT3G15980","GO:0005198"
"AT3G15980","GO:0006886"
"AT3G15980","GO:0016192"
"AT3G15980","GO:0030117"
"AT3G15980","GO:0005515"
"AT3G15980","GO:0005198"
"AT3G15980","GO:0006886"
"AT3G15980","GO:0016192"
"AT3G15980","GO:0030117"
"AT3G15980","GO:0005515"
"AT3G15980","GO:0005198"
"AT3G15980","GO:0006886"
"AT3G15980","GO:0016192"
"AT3G15980","GO:0030117"
"AT3G15980","GO:0005515"
"AT3G15980","GO:0005198"
"AT3G15980","GO:0006886"
"AT3G15980","GO:0016192"
"AT3G15980","GO:0030117"
"AT3G15980","GO:0005515"
"AT5G16570","GO:0004356"
"AT5G16570","GO:0006542"
"AT5G16570","GO:0006807"
"AT2G21800","GO:0003677"
"AT2G21800","GO:0004518"
"AT2G21800","GO:0005634"
"AT2G21800","GO:0006281"
"AT2G21800","GO:0048476"
"AT2G13100","GO:0022857"
"AT2G13100","GO:0055085"
"AT3G28080","GO:0016021"
"AT3G28080","GO:0022857"
"AT3G28080","GO:0016021"
"AT3G28080","GO:0022857"
"AT3G28080","GO:0016021"
"AT3G28080","GO:0022857"
"AT3G28080","GO:0016021"
"AT3G28080","GO:0022857"
"AT1G78500","GO:0000250"
"AT1G78500","GO:0005811"
"AT1G78500","GO:0016104"
"AT1G78500","GO:0016866"
"AT1G78500","GO:0042300"
"AT1G78500","GO:0000250"
"AT1G78500","GO:0005811"
"AT1G78500","GO:0016104"
"AT1G78500","GO:0016866"
"AT1G78500","GO:0042300"
"AT5G56650","GO:0016787"
"AT1G43700","GO:0003700"
"AT1G43700","GO:0006355"
"AT1G10560","GO:0004842"
"AT1G10560","GO:0016567"
"AT1G10560","GO:0005515"
"AT1G26700","GO:0006952"
"AT1G26700","GO:0016021"
"AT1G26700","GO:0006952"
"AT1G26700","GO:0016021"
"AT3G46220","GO:0061666"
"AT3G46220","GO:0071569"
"AT5G22490","GO:0004144"
"AT5G22490","GO:0045017"
"AT5G22490","GO:0008374"
