gene,root_control_1,root_control_2,root_control_3,root_auxin_1,root_auxin_2,root_auxin_3
AT5G36657,0,0,0,0,0,0
AT5G36658,0,0,0,0,0,0
AT5G36659,0,0,0,0,0,0
AT5G36661,0,0,0,0,0,0
AT5G36662,0,0,0,0,0,0
AT5G36670,6,3,13,9,0,6
AT5G36680,0,0,0,0,0,0
AT5G36690,0,0,0,0,0,0
AT5G36700,1,0,0,1,0,0
AT5G36710,42,23,96,27,30,14
AT5G36720,0,0,0,0,0,0
AT5G36722,0,0,0,0,0,0
AT5G36730,0,0,0,0,0,0
AT5G36738,0,0,0,0,0,0
AT5G36739,0,0,0,0,0,0
AT5G36740,40,21,26,23,62,52
AT5G36770,0,0,0,0,0,0
AT5G36780,0,0,0,0,0,0
AT5G36790,2,0,0,2,0,0
AT5G36800,49,32,74,28,34,18
AT5G36805,0,0,0,0,0,0
AT5G36810,0,0,0,0,0,0
AT5G36820,0,0,0,0,0,0
AT5G36870,56,108,116,57,64,84
AT5G36880,15343,14367,19068,16206,13528,14462
AT5G36890,1661,1434,2087,1511,1424,1430
AT5G36900,0,0,0,0,2,0
AT5G36910,1,2,0,0,0,2
AT5G36920,42,16,49,30,35,23
AT5G36925,229,197,298,229,259,251
AT5G36930,566,606,588,568,461,553
AT5G36940,2104,1942,2420,2270,1548,1844
AT5G36950,2307,2145,2234,2430,2157,2190
AT5G36960,212,134,225,371,373,305
AT5G36970,22,10,58,44,30,21
AT5G36980,0,0,1,0,0,0
AT5G37000,669,600,778,594,618,587
AT5G37010,2273,1904,2013,2371,1757,1752
AT5G37020,4241,3229,4351,4046,3172,3868
AT5G37030,0,0,0,2,0,0
AT5G37040,0,0,0,1,0,0
AT5G37050,30,48,60,32,61,53
AT5G37055,888,996,1004,814,1236,921
AT5G37060,1,0,2,4,0,0
AT5G37070,1037,1010,1294,998,1094,1093
AT5G37130,4002,3670,4533,4567,4106,4312
AT5G37140,0,0,0,0,0,0
AT5G37150,0,0,0,0,0,0
AT5G37160,0,0,4,4,2,2
AT5G37170,0,0,0,2,0,0
AT5G37180,983,614,1389,876,807,1079
AT5G37190,1690,1634,1928,1853,1602,1731
AT5G37200,0,1,0,0,0,0
AT5G37210,178,189,275,211,154,214
AT5G37220,0,0,0,2,2,0
AT5G37230,3,14,6,0,0,4
AT5G37240,41,46,39,52,29,35
AT5G37250,27,29,25,12,12,14
AT5G37260,2972,2213,4404,2147,2167,2666
AT5G37270,1,16,4,1,0,2
AT5G37280,0,0,0,0,0,0
AT5G37290,697,568,686,607,685,584
AT5G37300,0,0,0,0,0,0
AT5G37310,5435,4408,6701,4802,4271,4718
AT5G37320,2,8,3,4,0,2
AT5G37340,602,744,707,699,870,750
AT5G37350,3648,3453,3978,4146,4535,3958
AT5G37351,0,0,0,0,0,0
AT5G37360,587,583,783,682,708,792
AT5G37370,5058,4751,6188,5634,6154,5486
AT5G37380,1892,1743,2277,2048,1844,1783
AT5G37400,167,140,149,226,237,197
