,root_control_1,root_control_2,root_control_3,root_auxin_1,root_auxin_2,root_auxin_3
AT1G02460,303.012800098492,172.921845342876,406.2294997619,83.3480713697526,59.3493478570596,159.58413119011
AT1G02470,50.3343521758292,58.3748904660665,53.8275113556141,73.4256819209725,38.5250152756352,61.7745023961715
AT1G02475,582.871798196102,504.447166669027,630.791148698602,484.212605100467,524.773181051895,506.550919648606
AT1G02480,0,0,0,1.98447788975601,0,0
AT1G02490,13.0869315657156,24.2310866085559,12.615822973972,6.94567261414605,22.9067658395669,6.17745023961715
AT1G02500,55748.3150958614,57030.0651592916,58559.2860257185,40042.7948594968,47192.102496024,42412.3141951315
AT1G02510,2.01337408703317,0,0,0,1.04121662907122,2.05915007987238
AT1G02520,5498.52463168758,5057.68862302221,5497.13459719209,7615.4339019387,4525.12746994353,5983.89013210914
AT1G02530,207.377530964416,204.862823145063,182.508905690129,334.384524423888,264.46902378409,301.665486701304
AT1G02540,1.00668704351658,0,0.84105486493147,0,0,0
AT1G02550,0,0,1.68210972986294,0,2.08243325814244,0
AT1G02560,5572.01278586429,5377.09840104409,5187.62640689731,5446.39956843538,5701.702260794,5183.91032607872
AT1G02570,73.4881541767106,137.676628457704,174.098357040814,275.842426676086,123.904778859475,202.82628286743
AT1G02575,22.1471149573648,19.8254344979094,39.5295786517791,16.8680620629261,10.4121662907122,10.2957503993619
AT1G02580,158.049865832104,153.096410844967,128.681394334515,380.027515888277,161.388577506039,185.323507188514
AT1G02590,0,0,0,0,0,0
AT1G02600,0,0,0,0,0,0
AT1G02610,201.337408703317,151.994997817305,200.17105785369,256.989886723404,155.141277731612,191.500957428132
AT1G02620,0,0,0,0,0,0
AT1G02630,0,2.20282605532326,0,0,2.08243325814244,2.05915007987238
AT1G02640,1385.20137187882,1699.4803016819,1836.86382501033,1736.41815353651,1495.18707934627,1966.48832627813
AT1G02650,149.996369483971,163.009128093921,145.502491633144,149.828080676579,179.08926020025,128.696879992024
AT1G02660,338.246846621572,370.074777294308,301.097641645466,485.204844045345,372.755553207497,393.297665255625
AT1G02670,192.277225311668,274.251843887746,251.47540461451,259.966603558038,341.51905433536,284.162711022389
AT1G02680,1232.1849412643,1239.08965611934,1149.72200036132,1188.70225596385,1549.33034405798,1123.26636857038
AT1G02690,6474.00437685515,6381.58708227149,5445.83025043127,7237.39086394018,7023.00616308538,5805.77365020018
AT1G02700,23.1538020008814,14.3183693596012,34.4832494621903,17.8603010078041,27.0716323558517,38.0942764776391
AT1G02710,41.2741687841799,45.1579341341269,92.5160351424617,40.6817967399983,43.7310984209913,80.3068531150229
AT1G02720,1447.61596857685,1698.37888865424,1712.38770500047,1173.81867179068,1406.68366587522,1389.92630391386
AT1G02730,7945.7808344764,6889.33848802351,6416.40756456219,7996.45365677186,5478.88190217276,6116.70531226091
AT1G02740,772.12896237722,717.019881007722,846.94224898599,1074.59477730288,1001.65039716651,1035.75249017581
AT1G02750,1421.44210544542,1262.21932970023,1354.9393874046,1529.04021405701,1512.88776204048,1234.46047288349
AT1G02760,0,1.10141302766163,0,0,0,0
AT1G02770,7.04680930461609,11.0141302766163,18.5032070284923,18.8525399526821,15.6182494360683,14.4140505591067
AT1G02780,104598.810569547,110375.903741055,88040.7822061614,100835.290534283,130115.636051885,91153.4261607507
AT1G02790,1.00668704351658,0,0,0,0,0
AT1G02800,9.06018339164926,18.7240214702477,13.4568778389035,15.8758231180481,16.6594660651395,7.20702527955334
AT1G02810,4125.40350433096,3597.21494834289,3763.72052056833,3065.02610072816,2468.72462752786,2729.40343087084
AT1G02813,25.1671760879146,6.60847816596979,26.913755677807,14.8835841731701,22.9067658395669,20.5915007987238
AT1G02816,1812.03667832985,1815.12866958637,1873.02918420238,1809.84383545748,1985.60011163882,1505.23870838671
AT1G02820,44.2942299147297,39.6508689958187,50.4632918958882,84.3403103146306,88.5034134710538,63.8336524760439
AT1G02830,9.06018339164926,2.20282605532326,12.615822973972,23.8137346770722,6.24729977442732,4.11830015974477
AT1G02840,10897.387246067,10715.64734612,9399.62917047411,10899.7448094849,13456.6837141165,10630.3622873412
AT1G02850,3089.5225365524,3265.68962701674,3797.36271516559,13235.4752857277,15037.2505570466,14208.1355511194
AT1G02860,2153.30358608197,2207.23170743391,2108.5245463832,5194.37087643636,3952.45832395435,3772.36294632621
AT1G02870,3686.48795335773,3810.88907570925,3063.96287294535,4224.95342729055,5224.82504467939,3819.72339816327
AT1G02880,2716.04164340774,2790.98061209457,3229.65068133684,2800.09830244574,2965.38495959484,2884.86926190121
AT1G02890,10273.2412790867,9923.7313792313,10849.607757616,13627.4096689545,10070.6472363768,12766.7304952088
AT1G02900,4511.97132904133,3663.29973000259,5116.13674337813,13700.8353508755,9007.56505809513,9938.48786050406
AT1G02910,1000.64692125548,1044.13955022323,949.55094250763,1012.08372377557,1064.12339491079,980.155438019254
AT1G02920,31884.7987293008,27527.6158003472,28245.1455289936,39985.2450006939,29171.7662966884,30105.8037427742
AT1G02930,23088.3673430529,18090.7089793423,20967.4977827415,26675.3517941003,22040.4736041796,21714.7671672942
AT1G02940,12.080244522199,6.60847816596979,11.7747681090406,2.97671683463402,10.4121662907122,6.17745023961715
AT1G02950,1356.00744761684,1166.39639629367,1409.60795362514,1328.60794719165,1496.22829597534,1474.35145718863
AT1G02952,1188.89739839309,1061.76215866581,1283.44972388542,1200.60912330239,1301.52078633903,1347.71372727647
AT1G02960,1927.80568833426,1964.92084134835,1897.4197752854,1774.12323344188,2158.44207206464,1888.24062324298
AT1G02965,1.00668704351658,4.40565211064653,4.20527432465735,0,5.2060831453561,14.4140505591067
AT1G02970,800.316199595684,856.899335520749,719.101909516407,909.883112453132,962.084165261808,753.648929233292
AT1G02980,89.595146872976,93.6201073512387,101.767638656708,113.115239716093,103.080446278051,92.6617535942572
AT1G02990,1889.55158068063,1901.03888574398,2153.10045422456,2196.81702395991,1555.5776438324,2039.5881541136
AT1G03000,1934.85249763887,1816.23008261403,1899.94293988019,2152.1662714404,1758.61488650129,2159.01885874619
AT1G03010,211.404279138483,272.049017832423,368.382030839984,448.492003084859,376.920419723782,688.785701717312
AT1G03020,0,0,0.84105486493147,0,0,0
AT1G03022,0,0,0,0,0,0
AT1G03030,1799.95643380765,1861.38801674816,1640.05698661637,1732.449197757,1841.91221682699,1674.08901493625
AT1G03040,4760.62302878993,4106.06776712256,4963.90581282554,4369.82031324274,5220.6601781631,5178.76245087904
AT1G03050,4.02674817406634,19.8254344979094,15.1389875687665,14.8835841731701,6.24729977442732,16.4732006389791
AT1G03055,14.0936186092322,9.91271724895469,6.72843891945176,16.8680620629261,15.6182494360683,2.05915007987238
AT1G03060,6633.06092973077,6197.651106652,6415.56650969725,6813.70483447727,3984.73603945556,6312.32456984879
AT1G03070,67.4480319156111,121.155433042779,191.760509204375,103.192850267313,65.5966476314869,163.702431349854
AT1G03080,9812.17861315615,9891.79040142911,10759.6148870683,9972.99363496885,7031.33589611795,9624.46747332352
AT1G03090,2298.26652034836,2208.33312046157,1990.77686529279,2486.55079586428,2211.54412014727,2128.13160754811
AT1G03100,654.34657828578,620.095534573499,575.281527613125,724.334429760945,671.584725750937,692.904001877057
AT1G03103,0,0,0,0,0,0
