"gene","shoot_control_1","shoot_control_2","shoot_control_3","shoot_MeJA_1","shoot_MeJA_2","shoot_MeJA_3"
"AT2G36070",2465,4423,2785,3222,3562,4072
"AT2G36080",1066,1248,979,1491,2061,1862
"AT2G36090",257,286,245,281,230,196
"AT2G36100",500,574,665,620,520,847
"AT2G36110",4,2,1,20,4,32
"AT2G36120",4574,3320,5778,7913,3689,12757
"AT2G36130",1361,1843,1154,1622,1484,1404
"AT2G36140",0,0,0,4,3,2
"AT2G36145",3541,6333,2109,3537,3798,2180
"AT2G36150",3,4,0,0,0,1
"AT2G36160",11002,16319,9101,11451,13696,14689
"AT2G36170",6609,10061,6453,7567,8085,9534
"AT2G36180",0,0,0,0,2,0
"AT2G36190",2,0,0,0,8,2
"AT2G36200",791,756,720,640,506,821
"AT2G36210",103,120,56,86,91,108
"AT2G36220",2217,4545,1803,1621,2415,2104
"AT2G36230",835,1325,781,718,779,909
"AT2G36240",1598,2415,1281,2099,1725,1503
"AT2G36250",4364,6983,3435,5493,5228,4749
"AT2G36255",0,0,0,2,0,2
"AT2G36260",0,0,0,0,0,0
"AT2G36261",0,1,0,0,0,0
"AT2G36270",128,125,167,280,92,234
"AT2G36280",0,0,0,0,0,0
"AT2G36290",1558,2205,1682,1383,1576,2422
"AT2G36295",29,20,33,14,13,18
"AT2G36300",978,1908,1099,1297,1675,1408
"AT2G36305",307,492,339,455,409,441
"AT2G36307",153,164,171,139,115,251
"AT2G36310",1337,2597,1254,1866,2024,1842
"AT2G36320",2621,4362,2195,4031,3198,2815
"AT2G36325",2,2,4,5,4,2
"AT2G36330",580,1094,837,903,729,889
"AT2G36340",456,744,537,752,717,846
"AT2G36350",642,645,619,577,522,874
"AT2G36355",340,511,366,480,395,488
"AT2G36360",1118,1814,1134,1853,1424,1478
"AT2G36370",395,562,376,574,394,523
"AT2G36380",9198,18534,9997,22313,39881,35173
"AT2G36390",5183,6914,4145,5199,4886,4751
"AT2G36400",1261,1382,1157,1551,939,1367
"AT2G36410",2198,3005,1850,2308,1643,2491
"AT2G36420",928,1246,855,1027,662,849
"AT2G36430",481,944,388,339,343,320
"AT2G36440",0,0,2,0,0,4
"AT2G36450",0,0,2,0,0,0
"AT2G36460",11018,19728,7204,19691,19859,10629
"AT2G36470",649,810,651,919,809,787
"AT2G36480",885,1269,821,1166,1208,1177
"AT2G36485",482,792,512,556,716,759
"AT2G36490",1382,2225,1209,1889,1814,1605
"AT2G36500",139,157,77,181,146,88
"AT2G36510",0,0,0,0,0,0
"AT2G36520",0,0,0,0,0,0
"AT2G36530",47367,83767,54570,59578,78074,73356
"AT2G36540",63,71,46,68,37,50
"AT2G36550",0,0,1,1,0,0
"AT2G36560",4,0,0,0,1,2
"AT2G36570",1174,1314,1062,630,477,929
"AT2G36571",0,0,0,0,0,0
"AT2G36580",6758,13228,11209,16179,8925,11789
"AT2G36590",436,831,301,600,1287,745
"AT2G36600",0,0,0,0,0,0
"AT2G36610",2,2,2,0,2,2
"AT2G36620",10739,14483,9658,10678,12009,13879
"AT2G36630",3075,7058,2845,2178,6075,4500
"AT2G36632",0,0,0,0,0,0
"AT2G36640",12,16,12,45,47,63
"AT2G36650",126,113,174,295,248,688
"AT2G36660",53,91,69,54,103,122
"AT2G36670",674,1205,667,935,1000,890
"AT2G36680",1303,2412,1258,2458,1971,1615
"AT2G36690",2242,4891,3932,1859,1394,1794
"AT2G36695",10,32,13,29,24,24
"AT2G36700",0,0,0,0,0,0
"AT2G36710",4,12,8,8,8,18
"AT2G36720",2483,3892,2324,3520,2854,3038
"AT2G36724",0,0,0,0,0,0
"AT2G36730",334,510,333,476,349,455
"AT2G36740",876,1308,683,1213,1095,970
"AT2G36750",3114,7075,2058,1590,5601,4043
"AT2G36760",21,62,26,20,63,15
"AT2G36770",324,1178,410,905,1836,926
"AT2G36780",1178,2762,922,1384,3426,1781
"AT2G36790",2877,7883,2112,2392,3509,2259
"AT2G36792",2867,7866,2108,2387,3500,2261
"AT2G36800",8110,20008,6582,9564,14094,9582
"AT2G36810",2177,3263,1981,3422,2647,2783
"AT2G36815",6,6,4,4,0,2
"AT2G36830",9460,15965,6598,7744,14991,10725
"AT2G36835",3621,5917,2084,3649,3642,2511
"AT2G36840",373,557,319,491,513,328
"AT2G36850",5063,7961,5246,8397,6268,6973
"AT2G36854",63,112,98,160,90,122
"AT2G36860",0,0,0,0,0,0
"AT2G36870",517,850,557,240,418,641
"AT2G36880",21028,33312,24480,19036,30178,33736
"AT2G36881",0,0,0,0,0,1
"AT2G36885",445,748,463,529,684,761
"AT2G36890",200,242,270,261,212,473
"AT2G36895",1049,2232,909,1654,2075,1324
"AT2G36900",979,1796,992,2140,1447,1221
"AT2G36910",4497,7234,4679,4606,4895,4895
"AT2G36916",0,0,0,0,0,0
"AT2G36920",0,0,3,0,0,0
"AT2G36930",3133,4838,3091,3905,3741,4686
"AT2G36940",2,2,0,0,2,1
"AT2G36950",5123,11088,4402,8820,16656,9182
"AT2G36960",737,1092,683,1313,1030,986
"AT2G36970",2674,4645,1719,5086,5115,3164
"AT2G36980",144,172,75,142,94,150
"AT2G36985",8,54,30,8,16,36
"AT2G36990",5648,8426,3487,6562,5317,4174
"AT2G37000",33,40,15,16,24,28
"AT2G37010",0,0,0,0,0,0
"AT2G37020",1236,1637,1065,1638,1510,1577
"AT2G37025",285,328,201,526,260,258
"AT2G37030",54,83,12,3,10,3
"AT2G37035",688,1169,556,1414,1168,1025
"AT2G37040",18610,40174,24919,11849,34679,35457
"AT2G37050",2429,4119,2342,2404,3118,3266
"AT2G37060",353,631,434,536,638,625
"AT2G37070",84,93,44,114,101,60
"AT2G37080",2378,3127,1753,1470,2061,2169
"AT2G37090",130,239,186,169,135,218
"AT2G37100",352,462,179,216,294,205
"AT2G37110",4626,9788,4641,8360,8357,6481
"AT2G37120",828,907,723,875,722,1003
"AT2G37130",997,1279,1192,2289,674,1236
"AT2G37140",0,0,0,0,0,0
"AT2G37150",787,1523,727,2007,1721,1223
"AT2G37160",1250,1804,982,1658,1388,1481
"AT2G37170",3148,4210,2779,3290,4086,4372
"AT2G37180",765,1396,639,1694,3670,2197
"AT2G37190",12090,17661,11371,12023,14231,17298
"AT2G37195",168,220,140,186,187,196
"AT2G37200",833,1435,727,1503,1222,1062
"AT2G37210",44,66,68,29,33,69
"AT2G37220",46685,60486,29961,46492,39506,37135
"AT2G37230",1844,2585,1926,2031,2201,2535
"AT2G37240",1648,3407,1362,1634,2791,1883
"AT2G37250",5314,10296,6603,7998,9651,10860
"AT2G37260",384,976,305,705,1001,641
"AT2G37270",10542,17617,10783,11612,15881,16598
"AT2G37280",392,443,494,751,618,1458
"AT2G37290",104,163,125,199,124,199
"AT2G37300",270,415,247,271,234,244
"AT2G37310",448,534,411,508,437,631
"AT2G37320",106,215,136,179,157,174
"AT2G37330",269,365,256,560,271,406
"AT2G37340",4032,7693,4397,5802,6790,6382
"AT2G37360",613,779,597,713,554,847
"AT2G37362",608,775,590,712,553,839
"AT2G37370",22,45,47,47,28,74
"AT2G37380",169,125,114,26,90,143
"AT2G37390",258,213,225,135,138,237
"AT2G37400",1757,2707,1708,2165,2308,2355
"AT2G37410",4869,8246,5163,7969,7316,7848
"AT2G37420",551,479,421,351,248,489
"AT2G37430",382,1200,760,124,1363,824
"AT2G37435",0,2,2,0,0,4
"AT2G37440",42,61,83,40,35,98
"AT2G37450",1794,2024,1109,1589,1040,1232
"AT2G37460",1626,1748,1469,574,808,985
"AT2G37470",1639,2111,1579,1669,1283,1680
"AT2G37478",3924,5793,3095,9047,5321,4849
"AT2G37480",3924,5793,3095,9047,5321,4849
"AT2G37500",1741,2615,1515,2185,2157,2181
"AT2G37510",371,419,387,390,347,616
"AT2G37520",1971,3007,2056,3635,3101,3152
"AT2G37530",163,271,145,172,176,160
"AT2G37540",1400,3745,1362,1430,1778,1062
"AT2G37550",3282,5377,3210,5926,5233,4860
"AT2G37555",1344,2242,1476,2574,2308,2196
"AT2G37560",204,233,182,186,167,284
"AT2G37570",2157,3738,2002,4553,4077,3461
"AT2G37580",113,225,182,324,376,490
"AT2G37585",495,711,559,518,602,667
"AT2G37590",155,173,145,217,213,270
"AT2G37600",4229,5993,4098,4623,4576,6297
"AT2G37610",17,8,21,27,17,24
"AT2G37620",1519,3004,1463,3321,4094,3329
"AT2G37630",1927,2203,1605,2235,1929,2255
"AT2G37640",1805,4356,1451,1702,2780,1834
"AT2G37650",318,549,289,629,483,456
"AT2G37660",13789,17953,8308,12623,13034,9913
"AT2G37670",68,92,62,159,105,147
"AT2G37678",447,573,350,748,401,450
"AT2G37680",642,855,553,1048,824,744
"AT2G37690",2927,4779,3220,3860,4414,5011
"AT2G37700",26,28,41,19,14,40
"AT2G37710",2614,5977,4520,1510,3435,3485
"AT2G37720",9,18,21,18,2,8
"AT2G37730",0,0,0,0,0,0
"AT2G37740",11,20,40,14,12,35
"AT2G37750",296,406,257,1194,343,413
"AT2G37760",3492,7832,3509,8339,11239,7845
"AT2G37770",3205,6658,2626,4195,10110,6303
"AT2G37780",0,2,0,2,0,0
"AT2G37790",867,1383,698,720,1048,1028
"AT2G37800",3,7,6,2,0,8
"AT2G37810",0,0,4,0,0,0
"AT2G37820",14,36,14,34,14,36
"AT2G37840",1131,1612,816,2071,1266,1370
"AT2G37860",2437,3250,2426,1490,2503,3220
"AT2G37870",66,122,92,98,114,130
"AT2G37880",10,23,22,7,16,24
"AT2G37890",445,848,448,565,608,704
"AT2G37900",8,12,12,40,58,60
"AT2G37910",8,5,3,9,7,6
"AT2G37920",1062,1632,720,1579,1165,988
"AT2G37925",14,28,24,12,14,22
"AT2G37930",175,309,194,240,161,233
"AT2G37940",4643,11132,5227,6956,8961,6148
"AT2G37950",209,382,139,109,101,105
"AT2G37960",79,68,84,60,55,118
"AT2G37970",3737,8585,3070,3592,7404,4701
"AT2G37975",986,1512,829,1129,1379,1122
"AT2G37980",204,311,223,285,217,386
"AT2G37990",4071,7137,4570,4743,5928,6521
"AT2G38000",648,1093,562,1308,989,774
"AT2G38010",585,1366,485,676,956,678
"AT2G38020",1716,2623,1462,3434,2290,2159
"AT2G38025",1545,2091,1138,2132,1600,1402
"AT2G38030",0,0,0,0,0,0
"AT2G38040",7703,11532,6348,10110,8781,7802
"AT2G38050",601,956,543,1510,1218,1321
"AT2G38060",67,57,91,56,84,124
"AT2G38070",165,254,170,193,199,193
"AT2G38080",383,665,629,551,639,806
"AT2G38090",286,425,261,139,274,359
"AT2G38100",5,17,12,10,6,11
"AT2G38110",415,891,410,457,530,435
"AT2G38120",3015,4233,2540,2076,2488,3030
"AT2G38130",961,1706,1037,1383,1653,1459
"AT2G38140",10205,14115,6961,11921,11028,8661
"AT2G38150",0,0,1,2,0,0
"AT2G38152",20,47,36,65,47,32
"AT2G38160",172,205,181,120,140,242
"AT2G38170",18845,34347,14447,16074,26942,20902
"AT2G38180",445,637,396,494,534,731
"AT2G38185",378,537,273,577,532,460
"AT2G38195",129,184,99,197,165,172
"AT2G38210",459,528,199,130,264,259
"AT2G38220",10,21,4,13,14,8
"AT2G38230",8006,15118,4133,7498,8660,5433
"AT2G38240",949,1704,545,5131,7746,2601
"AT2G38250",285,711,582,594,621,983
"AT2G38255",7,19,13,17,17,20
"AT2G38270",3505,5011,2498,4899,4865,3530
"AT2G38280",6191,11327,5995,8470,10018,8251
"AT2G38290",2158,4541,2765,3453,3746,3409
"AT2G38300",337,753,230,453,657,330
"AT2G38304",0,0,0,0,0,0
"AT2G38310",8307,17630,8242,16992,15769,12523
"AT2G38320",237,433,255,362,219,417
"AT2G38325",0,0,1,0,0,0
"AT2G38330",1411,2076,984,1799,1782,1272
"AT2G38340",44,98,50,73,72,90
"AT2G38350",10,14,3,7,4,16
"AT2G38360",957,1838,1182,1148,1549,1760
"AT2G38365",2,2,0,0,0,2
"AT2G38370",387,545,412,600,385,538
"AT2G38380",4960,5013,4715,4470,4236,7129
"AT2G38390",503,378,512,737,497,1280
"AT2G38400",716,1493,549,1702,1535,1076
"AT2G38410",1142,2046,1071,2269,1787,1708
"AT2G38420",309,382,255,348,332,309
"AT2G38430",158,135,106,138,136,134
"AT2G38440",2952,4608,2957,5255,3638,3726
"AT2G38450",868,1386,843,1147,1076,1094
"AT2G38460",379,463,239,318,218,300
"AT2G38465",282,414,208,516,481,337
"AT2G38470",12789,32616,12634,6307,27336,18040
"AT2G38480",219,411,194,162,279,207
"AT2G38490",29,30,27,26,30,34
"AT2G38500",60,133,51,200,163,90
"AT2G38510",1,1,4,4,7,8
"AT2G38530",2751,4895,3773,1936,3098,3814
"AT2G38540",18808,42894,16364,16264,27634,17207
"AT2G38544",1,0,0,0,0,0
"AT2G38550",2787,3924,2772,3144,3358,4001
"AT2G38560",1634,2418,1367,2350,1919,1926
"AT2G38570",419,567,343,481,459,439
"AT2G38580",1193,1664,1190,1704,1434,1665
"AT2G38590",0,1,0,0,0,0
"AT2G38600",10,2,4,2,0,2
"AT2G38610",1152,2406,1282,2097,2898,2137
"AT2G38620",254,275,208,173,192,284
"AT2G38630",595,725,559,574,517,609
"AT2G38640",484,755,458,715,556,626
"AT2G38646",0,0,0,0,0,0
"AT2G38650",2911,4399,3011,3303,3215,3842
"AT2G38660",776,1147,688,1044,953,1036
"AT2G38670",2689,3389,2534,3177,2963,3276
"AT2G38680",431,743,381,624,608,532
"AT2G38690",10,6,2,6,6,6
"AT2G38695",263,367,179,326,282,219
"AT2G38700",2270,3247,2080,2974,2929,3141
"AT2G38710",1419,1728,1237,3137,1667,1777
"AT2G38720",190,212,184,242,109,262
"AT2G38730",657,1161,632,777,928,986
"AT2G38740",1183,2317,943,1130,1684,1184
"AT2G38750",647,1264,684,4276,6897,4969
"AT2G38760",149,300,152,1038,1165,1088
"AT2G38770",2838,4162,2972,4217,3054,3362
"AT2G38780",1292,2011,962,1472,1397,1223
"AT2G38790",292,595,194,104,387,201
"AT2G38800",3634,4853,3227,5906,3933,4497
"AT2G38810",480,500,523,398,411,650
"AT2G38820",439,836,342,665,634,415
"AT2G38823",151,232,165,205,129,177
"AT2G38830",151,274,149,264,209,161
"AT2G38840",1050,1599,994,1401,1452,1525
"AT2G38860",4933,11230,6390,21289,18071,14082
"AT2G38870",6791,12232,8328,6873,7966,7568
"AT2G38880",803,1129,725,1194,1039,1253
"AT2G38890",0,10,0,5,2,0
"AT2G38900",0,0,0,0,0,0
"AT2G38905",0,2,0,0,0,0
"AT2G38910",0,0,0,0,0,0
"AT2G38920",48,55,61,46,75,166
"AT2G38940",850,1300,1275,569,1313,1796
"AT2G38950",1923,3169,1819,3263,2676,2490
"AT2G38960",1087,1920,1222,3149,1747,1756
"AT2G38970",853,1327,849,937,773,852
"AT2G38995",91,185,108,84,112,86
"AT2G39000",822,1539,693,1968,1572,1061
"AT2G39010",8791,13226,6683,9654,10461,8168
"AT2G39020",2833,4355,2651,3391,5761,4957
"AT2G39030",180,428,444,3881,8021,5327
"AT2G39040",18,38,27,12,15,34
"AT2G39050",393,813,361,937,1522,1000
"AT2G39060",0,0,0,0,0,0
"AT2G39080",3424,5102,2850,4825,4343,3595
"AT2G39090",601,938,587,823,708,760
"AT2G39100",334,500,318,839,538,483
"AT2G39110",298,425,330,379,395,629
"AT2G39120",159,325,268,268,241,325
"AT2G39130",2378,4267,2539,3001,3605,3657
"AT2G39140",2810,3716,2101,3155,2957,2634
"AT2G39160",0,0,0,0,0,0
"AT2G39170",875,1464,871,1496,1362,1242
"AT2G39175",0,4,2,2,2,3
"AT2G39180",323,671,355,558,645,642
"AT2G39190",4179,6195,3123,5093,4927,3979
"AT2G39200",2843,8499,7177,1566,2431,3863
"AT2G39210",3333,8660,6776,2377,4014,4472
"AT2G39220",561,779,501,275,494,609
"AT2G39230",155,227,217,151,148,244
"AT2G39240",29,24,2,12,23,27
"AT2G39250",432,471,307,342,636,555
"AT2G39260",2361,3614,2091,3893,3202,3038
"AT2G39270",964,1535,888,1730,1676,1582
"AT2G39280",1415,1864,1305,1669,1388,1774
"AT2G39290",1495,1883,1198,1757,1716,1465
"AT2G39300",293,384,301,424,383,481
"AT2G39310",4630,9321,4433,11319,13719,10347
"AT2G39320",8,16,3,17,16,16
"AT2G39330",201,739,552,4600,12204,7838
"AT2G39340",2705,3942,2667,6164,4259,4602
"AT2G39350",1120,2114,1508,932,1402,1740
"AT2G39360",1062,2203,1084,1730,1055,1058
"AT2G39370",43,54,52,79,53,144
"AT2G39380",424,698,843,687,667,1033
"AT2G39390",6323,9970,7216,7029,8521,10542
"AT2G39400",3499,10835,2445,6512,5511,2471
"AT2G39410",98,109,101,135,46,100
"AT2G39415",0,4,2,0,0,2
"AT2G39420",786,1884,1002,7457,5136,3589
"AT2G39430",302,425,451,397,471,534
"AT2G39435",298,425,184,404,485,271
"AT2G39440",403,522,354,371,437,439
"AT2G39445",241,347,195,280,291,291
"AT2G39450",1561,3366,1850,2773,3103,3128
"AT2G39460",20556,31703,20154,24474,27493,30402
"AT2G39470",5911,9652,2860,6029,5756,3094
"AT2G39480",1692,3212,1692,3085,2833,2582
"AT2G39490",4,6,10,2,3,12
"AT2G39500",665,763,505,767,568,680
"AT2G39510",297,252,282,282,109,280
"AT2G39518",1015,2129,2411,1282,1392,2505
"AT2G39520",270,645,805,475,445,770
"AT2G39530",267,611,576,199,221,585
"AT2G39540",0,0,0,0,2,0
"AT2G39550",897,1548,1005,1531,1306,1337
"AT2G39560",239,362,197,124,215,237
"AT2G39570",4059,7603,2999,10254,5638,4617
"AT2G39580",3164,5087,2871,8645,4062,4323
"AT2G39590",0,0,0,0,0,4
"AT2G39600",0,0,0,0,0,0
"AT2G39610",0,0,0,0,0,0
"AT2G39620",55,68,53,85,39,65
"AT2G39630",1023,1599,924,1467,1318,1203
"AT2G39640",1,0,0,0,0,0
"AT2G39650",929,2104,824,401,1415,900
"AT2G39660",2924,6562,3290,3561,4581,3799
"AT2G39670",5622,7319,3520,6311,5288,5046
"AT2G39675",830,1119,735,900,736,893
"AT2G39681",1413,2304,1501,1764,1758,2194
"AT2G39690",280,473,279,366,317,304
"AT2G39700",3277,3276,2909,1269,1586,2583
"AT2G39705",545,788,437,385,399,470
"AT2G39710",1052,1189,1397,691,1079,1436
"AT2G39720",1749,2996,1705,2659,2761,2385
"AT2G39725",318,463,372,659,529,578
"AT2G39730",239638,579184,123191,224890,346347,119105
"AT2G39740",968,1619,819,1109,1116,1030
"AT2G39750",1705,2772,1589,2666,2273,2189
"AT2G39760",1932,3108,1724,3344,2785,2425
"AT2G39770",5161,9566,4909,19310,13395,10459
"AT2G39780",2346,3743,1976,3893,3372,2988
"AT2G39782",0,0,0,1,0,1
"AT2G39790",0,0,0,0,0,0
"AT2G39795",1117,1707,1171,1227,1442,1669
"AT2G39800",1348,1947,1223,1455,1560,1716
"AT2G39805",756,1126,647,1375,1080,980
"AT2G39810",1794,3140,1905,2608,2388,2423
"AT2G39820",4,16,7,8,10,16
"AT2G39830",361,502,512,431,442,762
"AT2G39840",1112,1915,920,1304,1411,1204
"AT2G39850",269,414,305,227,291,385
"AT2G39851",0,0,1,0,0,0
"AT2G39855",2,6,0,4,2,1
"AT2G39860",0,0,0,0,0,0
"AT2G39865",0,0,1,0,0,0
"AT2G39870",2165,2908,2053,2283,1102,1834
"AT2G39880",156,209,123,177,156,116
"AT2G39885",1,2,2,2,0,0
"AT2G39890",1015,1448,911,847,914,1135
"AT2G39900",1299,1515,1282,1119,785,1309
"AT2G39910",397,657,342,575,495,527
"AT2G39920",146,62,108,315,90,157
"AT2G39930",2324,3086,1972,2329,2431,2461
"AT2G39940",2257,3675,1721,2724,2956,2295
"AT2G39950",1754,2773,1390,2587,2080,1930
"AT2G39960",2650,4683,2711,3451,3434,3499
"AT2G39970",3869,7687,3252,7516,6753,5012
"AT2G39975",0,0,0,2,0,0
"AT2G39980",2791,6567,1238,2063,6425,2003
"AT2G39990",5402,9407,5474,6680,8129,8140
"AT2G40000",12973,34676,6351,4879,24714,6872
"AT2G40004",0,0,0,2,0,0
"AT2G40008",611,998,604,653,694,941
"AT2G40010",931,1605,1035,1018,1060,1593
"AT2G40020",648,845,366,710,509,426
"AT2G40030",653,1075,629,792,664,810
"AT2G40050",2,24,16,12,10,8
"AT2G40060",5928,9612,5389,9334,8502,7629
"AT2G40070",1613,2300,1574,1971,1734,2184
"AT2G40080",1582,1360,1224,1332,841,1674
"AT2G40081",0,0,0,0,0,2
"AT2G40085",132,138,111,131,96,154
"AT2G40090",848,1913,1021,1760,1723,1524
"AT2G40095",682,1676,909,647,1010,1049
"AT2G40100",2988,8280,2613,2453,4650,2577
"AT2G40110",772,1340,777,1392,761,991
"AT2G40113",130,215,235,276,215,367
"AT2G40116",0,2,0,0,0,0
"AT2G40120",333,522,379,380,315,375
"AT2G40130",221,224,222,72,91,182
"AT2G40140",8405,14290,5357,4137,13314,8027
"AT2G40150",386,582,310,288,295,415
"AT2G40160",222,328,215,241,225,287
"AT2G40170",20,20,4,8,22,15
"AT2G40180",70,191,123,102,99,102
"AT2G40190",741,1098,640,1069,897,1032
"AT2G40200",85,155,62,204,267,185
"AT2G40205",1448,1326,1235,1261,1107,2030
"AT2G40210",0,0,0,0,0,0
"AT2G40220",0,0,0,0,0,0
"AT2G40230",163,266,194,186,150,222
"AT2G40233",0,0,0,0,0,0
"AT2G40240",251,309,256,336,292,351
"AT2G40250",2,2,4,4,2,4
"AT2G40260",397,692,345,361,461,381
"AT2G40270",1728,4324,2022,2182,3171,2617
"AT2G40280",1122,1820,1278,1321,1333,1551
"AT2G40290",4774,8425,4858,6544,6782,6400
"AT2G40300",600,953,508,819,995,675
"AT2G40310",0,0,0,0,0,0
"AT2G40316",915,1520,869,1220,1105,1164
"AT2G40320",186,326,264,274,262,378
"AT2G40330",1953,4205,1993,4794,2294,2628
"AT2G40340",727,791,649,569,781,960
"AT2G40350",57,27,41,48,30,73
"AT2G40360",9269,16622,10642,12135,14116,14906
"AT2G40370",225,265,248,221,229,380
"AT2G40380",1085,1906,1088,1046,1809,1701
"AT2G40390",96,113,158,126,95,198
"AT2G40400",4991,9431,3742,5416,7593,5058
"AT2G40410",1358,2122,988,2084,1543,1400
"AT2G40420",434,783,319,1026,732,567
"AT2G40430",4995,8208,5220,6573,7866,7931
"AT2G40435",92,121,78,217,694,509
"AT2G40440",4,1,10,2,13,6
"AT2G40450",12,11,14,7,5,7
"AT2G40460",742,1215,661,648,1578,1240
"AT2G40470",64,106,58,48,64,90
"AT2G40475",605,850,528,726,959,784
"AT2G40480",458,515,447,200,231,412
"AT2G40490",8253,10433,5073,9138,8266,6288
"AT2G40500",0,0,0,0,0,0
"AT2G40510",5829,8070,4880,6288,6902,7479
"AT2G40520",353,721,364,453,458,420
"AT2G40530",68,73,52,23,28,48
"AT2G40540",2287,3336,1804,1955,2756,2497
"AT2G40550",931,1076,935,993,882,1126
"AT2G40560",0,0,0,0,2,0
"AT2G40570",847,1207,877,1047,1159,1163
"AT2G40580",0,2,0,0,2,0
"AT2G40590",3808,5217,3370,3445,4509,4962
"AT2G40600",1352,2228,1177,1914,1691,1603
"AT2G40610",431,794,258,148,123,158
"AT2G40620",691,1031,711,1151,924,967
"AT2G40630",1036,1687,1069,1191,1473,1388
"AT2G40640",331,495,360,379,401,481
"AT2G40650",2047,3357,2239,2618,2767,2784
"AT2G40660",2514,3935,2554,2679,3239,3473
"AT2G40670",141,146,72,100,77,79
"AT2G40690",1087,1308,694,880,963,944
"AT2G40700",1741,3059,1842,1916,2727,2965
"AT2G40710",11,34,21,14,26,30
"AT2G40711",48,66,38,69,44,64
"AT2G40720",228,274,169,280,156,291
"AT2G40730",3133,5630,3274,4645,5146,4290
"AT2G40740",8,6,6,4,2,6
"AT2G40745",0,0,0,0,0,2
"AT2G40750",156,345,188,62,139,116
"AT2G40760",1056,1624,799,1336,1192,1216
"AT2G40765",3483,4178,3211,5034,3954,4889
"AT2G40770",1033,1682,952,1782,1224,1455
"AT2G40780",444,769,437,630,650,602
"AT2G40790",10,8,20,8,16,19
"AT2G40800",1139,1797,1201,1702,1626,1589
"AT2G40802",1,0,0,0,0,0
"AT2G40805",1,0,2,2,0,3
"AT2G40810",305,547,227,570,443,299
"AT2G40815",511,681,368,590,474,459
"AT2G40820",928,1613,883,1343,1346,1374
"AT2G40830",1494,2634,1348,2256,3193,2363
"AT2G40840",3048,3546,2704,2698,2742,3290
"AT2G40850",82,117,71,98,84,90
"AT2G40860",712,1224,603,1006,900,786
"AT2G40880",2687,3874,1771,4058,2750,1988
"AT2G40890",4958,8478,5034,6109,7238,7734
"AT2G40900",881,643,635,558,583,957
"AT2G40910",2,1,2,0,3,2
"AT2G40920",1279,2141,901,1674,1660,1300
"AT2G40925",4,10,0,2,3,3
"AT2G40930",1460,2453,1379,2047,1744,1711
"AT2G40935",354,409,261,393,278,354
"AT2G40940",5762,10170,5288,10208,7708,7641
"AT2G40950",1624,2683,1906,2388,2652,2837
"AT2G40955",16,20,6,22,21,11
"AT2G40960",534,829,362,565,521,433
"AT2G40970",454,658,427,1058,554,676
"AT2G40980",1049,1613,992,1312,1302,1314
"AT2G40990",0,0,0,0,0,0
"AT2G40995",0,0,0,0,0,0
"AT2G41000",449,652,371,437,527,570
"AT2G41010",1146,2399,1053,540,1227,990
"AT2G41020",685,961,575,951,801,886
"AT2G41040",846,1724,802,1291,1495,1186
"AT2G41050",475,704,387,306,514,531
"AT2G41060",1439,2142,1317,2626,1818,1931
"AT2G41070",188,406,272,380,315,450
"AT2G41080",319,401,238,429,379,367
"AT2G41082",22,45,24,37,18,30
"AT2G41090",6037,17935,6196,5576,8254,4625
"AT2G41100",23210,83437,25886,41953,54285,31094
"AT2G41110",4565,10531,5488,6916,6797,6360
"AT2G41120",951,1887,879,1220,1354,1052
"AT2G41130",326,442,328,318,353,471
"AT2G41140",2771,4435,2371,3684,5123,4609
"AT2G41150",338,440,409,292,549,657
"AT2G41160",1315,2668,1374,1505,2520,1823
"AT2G41170",704,1595,953,324,713,577
"AT2G41178",747,1765,572,1564,3577,1516
"AT2G41180",1414,2956,991,2690,5888,2681
"AT2G41190",231,369,216,214,224,217
"AT2G41200",203,315,181,420,235,319
"AT2G41210",203,406,258,551,308,353
"AT2G41220",4731,7726,5444,5407,6186,7646
"AT2G41225",0,6,0,5,2,2
"AT2G41230",2962,6126,3603,8692,5582,4942
"AT2G41231",2399,5111,2899,7094,4766,4044
"AT2G41233",0,0,0,0,0,0
"AT2G41240",3972,3991,1227,1737,1832,1016
"AT2G41250",1165,1799,557,652,1062,660
"AT2G41260",0,6,4,0,20,39
"AT2G41280",32,40,8,86,72,31
"AT2G41290",206,463,228,152,354,281
"AT2G41300",102,150,94,153,101,242
"AT2G41310",807,1125,1118,1036,834,1163
"AT2G41312",175,511,178,418,969,465
"AT2G41330",147,284,156,229,340,251
"AT2G41340",341,450,213,459,242,251
"AT2G41342",12,65,19,40,54,31
"AT2G41350",753,1258,645,815,966,856
"AT2G41360",0,0,0,0,0,0
"AT2G41370",696,937,696,656,648,746
"AT2G41380",2820,5414,4882,4707,7396,8889
"AT2G41390",0,0,0,2,0,0
"AT2G41400",0,0,1,3,1,3
"AT2G41410",9395,23281,9579,10172,17954,13099
"AT2G41415",0,0,0,4,0,0
"AT2G41420",3480,7524,2925,6195,4507,3094
"AT2G41430",30594,77710,29190,102325,46631,31400
"AT2G41440",379,622,492,601,404,534
"AT2G41445",4,6,2,4,6,6
"AT2G41450",62,103,84,70,73,134
"AT2G41451",4,5,5,5,6,2
"AT2G41460",673,1019,599,993,794,913
"AT2G41470",7,7,7,20,90,47
"AT2G41473",0,0,0,0,0,1
"AT2G41475",1585,3501,1610,3595,4169,3331
"AT2G41480",176,167,142,269,209,514
