gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,uniprot_id,ipath_id
AT3G55720,280.0056334252858,1.276810490505089,0.2032215610669959,6.2828495352624705,3.3242276622668573e-10,5.72756813473475e-8,A0A384KRA2,UNIPROT:A0A384KRA2
AT3G59068,1709.85048841314,1.3535627929228644,0.3734748992066482,3.6242403326118087,2.8981202390641794e-4,0.004303517889205105,NA,NA
AT3G59070,1243.1905174070314,1.4224488567451226,0.3738737329706648,3.8046236772047637,1.4201993950776608e-4,0.0024791431203633318,Q9LYS9,UNIPROT:Q9LYS9
AT3G60290,105.09671036621637,1.3807308784762642,0.3535201311773758,3.9056640816403574,9.396697183479074e-5,0.0018081232065499248,A0A384K9V5,UNIPROT:A0A384K9V5
AT3G61490,899.9134446116034,1.4789474870042392,0.22725857599960206,6.507774153292367,7.62724708888123e-11,1.738935293365033e-8,A0A1I9LS88,UNIPROT:A0A1I9LS88
AT3G61820,983.1938164711394,1.0343262039759342,0.24518407196861378,4.218570136596553,2.458564954731646e-5,6.124974568791168e-4,Q9M356,UNIPROT:Q9M356
AT3G61870,951.2090067263705,1.3201711419342272,0.27755843180653883,4.756371958659863,1.971031556433507e-6,7.750549348477473e-5,F4IX01,UNIPROT:F4IX01
AT3G62030,3461.316767470957,1.27994917672709,0.24534250185524545,5.216989176552349,1.8185488168556766e-7,1.1401795929235966e-5,F4IX26,UNIPROT:F4IX26
AT3G63160,1749.113078406836,1.0532415963903283,0.26046469776160636,4.043701912165929,5.26138047708676e-5,0.0011484519315606882,A0A384KZL8,UNIPROT:A0A384KZL8
AT3G63510,162.04560375895088,1.0474945304705863,0.2493190162641365,4.201422523506339,2.6524302250646537e-5,6.486240802809783e-4,A8MRX7,UNIPROT:A8MRX7
AT4G01580,66.91704763516346,1.0839894073434546,0.3025003768086314,3.583431593638017,3.3910960224032817e-4,0.004868983989927766,Q9ZSH7,UNIPROT:Q9ZSH7
AT4G01883,86.89097032205986,1.2235174400887499,0.3023156653675681,4.047151968129557,5.184458423266892e-5,0.0011338993320887307,A0A178UYN7,UNIPROT:A0A178UYN7
AT4G02700,934.3125028652761,1.2794489687561224,0.2667259459943143,4.796867301328817,1.6116629164518026e-6,6.507485453887948e-5,O04289,UNIPROT:O04289
AT4G02790,422.56089441460614,1.1948290349620616,0.26994634056710776,4.426172373561149,9.591988550383406e-6,2.886676980942718e-4,Q8H1F6,UNIPROT:Q8H1F6
AT4G03210,1050.593976406941,2.3364521404589467,0.3316338305684667,7.045276823700228,1.850931552158964e-12,6.42728862519692e-10,F4JI68,UNIPROT:F4JI68
AT4G04840,58.420382753268704,2.4609400734375315,0.6020374739423876,4.08768586666589,4.356975721211792e-5,9.814500898550037e-4,A0A178V6R2,UNIPROT:A0A178V6R2
AT4G05390,1299.6218351879663,1.0004853528221163,0.16800720669900707,5.955014504910694,2.6004876547020925e-9,3.260867047460052e-7,F4JGF4,UNIPROT:F4JGF4
AT4G08685,810.9438515311714,1.1487812289507633,0.3286248818884234,3.495721998740205,4.727809896987108e-4,0.006328732305951119,A0A178UVW6,UNIPROT:A0A178UVW6
AT4G08870,108.09911295080182,1.9586062722015951,0.4359990708026781,4.49222579441691,7.048263731602384e-6,2.2406529674084142e-4,B9DFC0,UNIPROT:B9DFC0
AT4G09650,2306.9159650727493,1.0408495215830842,0.29735733125631414,3.500332469307439,4.646782151478442e-4,0.006261642981553428,Q9SSS9,UNIPROT:Q9SSS9
AT4G11175,289.0221006040509,1.0247454276852952,0.21947640835955107,4.66904591406715,3.0260175129803287e-6,1.116017014468611e-4,O82499,UNIPROT:O82499
AT4G11460,45.162463481275644,1.583982046833126,0.3932282522998683,4.028149141291129,5.621767883279854e-5,0.0012107721650144044,A0A1P8B395,UNIPROT:A0A1P8B395
AT4G12870,413.3430068590293,2.1167628099301288,0.35241777540761776,6.006401940088898,1.8968560966639793e-9,2.525239200424305e-7,Q8VY56,UNIPROT:Q8VY56
AT4G14980,307.7962884008869,1.247792214974602,0.3712814283110581,3.3607719638732014,7.77249679451317e-4,0.009306791785090543,F4JIJ2,UNIPROT:F4JIJ2
AT4G16140,831.617262255393,1.2628623681569202,0.26439501477821753,4.776422767336393,1.784410418100771e-6,7.103338191702381e-5,A0A1P8B4M2,UNIPROT:A0A1P8B4M2
AT4G16980,3378.5101632356896,1.348682612032675,0.368739456360987,3.6575489516162527,2.546386386475367e-4,0.0038912990608757966,A0A178UXA5,UNIPROT:A0A178UXA5
AT4G16983,1640.8930554341,1.2684005004927024,0.36544225305852296,3.470864383844462,5.187859374175211e-4,0.006815784280239155,A0A1P8B5V4,UNIPROT:A0A1P8B5V4
AT4G17600,1702.1651819750987,1.359749850081326,0.3482940380824761,3.9040284972071126,9.460463405863099e-5,0.0018166488584582636,Q9SYX1,UNIPROT:Q9SYX1
AT4G18290,155.31543014913896,2.265853816118609,0.45453842842631587,4.984955450220907,6.197609119485428e-7,3.087996367238534e-5,A0A1P8B8U1,UNIPROT:A0A1P8B8U1
AT4G18390,555.7648607557531,1.2324417938307874,0.2650183849307292,4.650401118974913,3.3129005506662293e-6,1.2021781081846858e-4,Q93V43,UNIPROT:Q93V43
AT4G18480,3068.3748656753405,1.1138672185860063,0.20253957005183124,5.499504211947128,3.8086061026869404e-8,3.1838536423609977e-6,P16127,UNIPROT:P16127
AT4G18810,436.5953345194508,1.058377123107086,0.23565246671563408,4.491262654102611,7.080217198531172e-6,2.2476453219134613e-4,A0A178UYQ1,UNIPROT:A0A178UYQ1
AT4G19985,164.11924003156702,1.0592189559471283,0.22883148543944085,4.628816501859599,3.6776145760209388e-6,1.3051484055875566e-4,A0A1P8B7M6,UNIPROT:A0A1P8B7M6
AT4G20760,108.11205800515968,1.1222021921066492,0.30338908580448687,3.6988878130897245,2.1654628365567864e-4,0.003453056958574933,A0A1P8B7H4,UNIPROT:A0A1P8B7H4
AT4G20940,738.728404024735,1.0392739018030936,0.16755702886009807,6.202508536188216,5.557016962397193e-10,9.088944192628046e-8,A0A178UX69,UNIPROT:A0A178UX69
AT4G21570,2333.6630778341932,1.0056626070372376,0.26101861739109916,3.852838610091922,1.1675635106813201e-4,0.002112986033057546,A0A1P8B7M3,UNIPROT:A0A1P8B7M3
AT4G21590,50.266714265865254,1.4658326011851037,0.3940135030267886,3.720259813241586,1.9901793496399285e-4,0.003229355722553762,A0A178UZU8,UNIPROT:A0A178UZU8
AT4G23000,109.23993625987433,1.1852718546135645,0.26895215214375123,4.4069989593541274,1.0481269150246607e-5,3.0803740363309395e-4,F4JMQ8,UNIPROT:F4JMQ8
AT4G23250,305.6990570275699,1.5521596921605934,0.2828904411814369,5.486787343108166,4.093093817094518e-8,3.3352065178931544e-6,A0A1P8B8K3,UNIPROT:A0A1P8B8K3
AT4G23560,297.4504069536763,1.283590147850104,0.35715393336310747,3.5939409535918987,3.257136808142978e-4,0.004721697809672135,Q9SUS0,UNIPROT:Q9SUS0
AT4G23680,5988.606644580329,1.1940946201752798,0.2668482238212552,4.474808200241679,7.647993501594669e-6,2.4008742882405184e-4,A0A178V4S8,UNIPROT:A0A178V4S8
AT4G23940,526.7850500093275,1.012040576382851,0.2099387612979238,4.820646602495028,1.4309365342753589e-6,6.062059271520572e-5,O22993,UNIPROT:O22993
AT4G23990,256.36824200474905,1.3803487385864763,0.23499293240185323,5.874001079428168,4.254005985277016e-9,5.04285356495259e-7,A0A1P8B8H8,UNIPROT:A0A1P8B8H8
AT4G24120,100.7422294490183,1.1093459087442867,0.299497043629504,3.7040295800602787,2.1220149783204091e-4,0.0033872701609384695,Q6R3L0,UNIPROT:Q6R3L0
AT4G24175,105.20808115196967,1.0209751956907047,0.2568889605797288,3.9743833031463875,7.056184826390293e-5,0.0014571376735265811,A0A178V1T8,UNIPROT:A0A178V1T8
AT4G24275,337.30525879548475,1.0397411535033583,0.2692146316511939,3.8621272073001283,1.1240400872658684e-4,0.002051275160738866,A0A178UXY7,UNIPROT:A0A178UXY7
AT4G24350,136.07136629066952,1.140406268707678,0.2905941131243567,3.9243956336433183,8.694774301237578e-5,0.001705491335799268,A0A1P8B6Q4,UNIPROT:A0A1P8B6Q4
AT4G24890,32.72870828493764,1.758633463546781,0.47961825139461334,3.6667359059691793,2.45666281162112e-4,0.003777202746668958,Q8H1R2,UNIPROT:Q8H1R2
AT4G25420,95.85161640329986,1.1921013741385913,0.2937675292145022,4.057975288576385,4.9500004114434295e-5,0.0010932138873452999,A0A1P8B5N0,UNIPROT:A0A1P8B5N0
AT4G26150,29.88086132944983,1.5689586686924342,0.43546245401203465,3.6029711729155727,3.1460043003241615e-4,0.004598993721672063,Q9SZI6,UNIPROT:Q9SZI6
AT4G26390,171.32272792629877,1.6723591700383744,0.28923753248361833,5.7819576722225445,7.383628841421784e-9,7.973965865058904e-7,O65595,UNIPROT:O65595
AT4G27440,23357.433579457647,1.0860499080964308,0.3189215451750916,3.4053826858896503,6.607139449365851e-4,0.0081953411578409,P21218,UNIPROT:P21218
AT4G28660,789.0771145199587,1.4673448013882675,0.25669854385461655,5.716217861443386,1.089210770834285e-8,1.0975257280580646e-6,A0A178UXI3,UNIPROT:A0A178UXI3
AT4G28680,58.37668494345563,2.456964004341253,0.5546896296314671,4.429439227074873,9.447843127723292e-6,2.850899294596824e-4,A0A178UWT5,UNIPROT:A0A178UWT5
AT4G28730,91.3321234130124,1.096077244872641,0.3182167867813945,3.444435650170818,5.722528349880856e-4,0.00731802761389013,A0A1P8B4W9,UNIPROT:A0A1P8B4W9
AT4G28780,57.99328328428511,2.4699935448178416,0.39663200593245407,6.227418634588148,4.741828558835891e-10,7.987150179215291e-8,Q9SVU5,UNIPROT:Q9SVU5
AT4G29270,2054.4899684334096,1.0804975881449876,0.21233192348805902,5.088719446398986,3.6048946206315454e-7,1.989390623038499e-5,Q9M0F4,UNIPROT:Q9M0F4
AT4G29400,154.82646676372943,1.0017162677916123,0.2527510058392313,3.9632533388562625,7.393524978587302e-5,0.00150282538552492,A0A178V6M8,UNIPROT:A0A178V6M8
AT4G29690,1496.917212868663,1.2241083895517126,0.26851642435188783,4.558784039025978,5.145064463139071e-6,1.71535081237093e-4,Q9SU82,UNIPROT:Q9SU82
AT4G30650,148.38795214909715,1.474713657194453,0.36432707206182724,4.0477740203291575,5.170703115790451e-5,0.001131987779112573,Q9M095,UNIPROT:Q9M095
AT4G30993,1165.0718555353583,1.038453593350879,0.19694757797065066,5.272741122541911,1.344010829638285e-7,8.896090450371181e-6,A0A1P8B4D1,UNIPROT:A0A1P8B4D1
AT4G31370,175.18516880686946,1.0097726372969322,0.29922463999727617,3.374630636387846,7.391482473246448e-4,0.008933986490127941,O49586,UNIPROT:O49586
AT4G31760,60.58783093729027,1.5763542504561692,0.3419116760127874,4.610413627398949,4.018685831378601e-6,1.401943707883252e-4,O81772,UNIPROT:O81772
AT4G31800,663.848355065437,1.3352063825360097,0.24729026169326668,5.399348819453998,6.688321833044836e-8,5.015352561250997e-6,A0A1P8B913,UNIPROT:A0A1P8B913
AT4G32980,123.1711720360833,1.0461595354563986,0.28644730923187284,3.652188384180475,2.6001502285270405e-4,0.003952053253069619,A0A178V1Z5,UNIPROT:A0A178V1Z5
AT4G33030,5111.603582829106,1.2755237771293138,0.30914650693813356,4.125952415773443,3.692036069790039e-5,8.582177768406897e-4,O48917,UNIPROT:O48917
AT4G33905,39.67874062828431,2.0844412908815215,0.5706243552433328,3.6529132900271106,2.592818055112318e-4,0.003946223622517878,NA,NA
AT4G34290,1036.3245242966443,1.0624941860570678,0.24410203602370734,4.3526641701336635,1.344930893887649e-5,3.789817129330602e-4,Q9SYZ4,UNIPROT:Q9SYZ4
AT4G34950,171.0784935090977,1.0901685796283014,0.26778693850128527,4.071029698945041,4.680578097545865e-5,0.0010408406723123912,NA,NA
AT4G36110,290.3108167490944,1.3560249297486797,0.29249463089327854,4.636067765098388,3.5509959451197217e-6,1.26418816210248e-4,O65648,UNIPROT:O65648
AT4G36280,22.32528930365141,1.844775266651032,0.50030065567923,3.6873332979076046,2.2661645509277045e-4,0.0035694068443118785,Q5FV35,UNIPROT:Q5FV35
AT4G36910,1185.7953558999145,1.1008027659968378,0.24386664470530814,4.513953793586914,6.363008582292666e-6,2.0546418699703543e-4,A0A178V6F3,UNIPROT:A0A178V6F3
AT4G37770,142.58115887218975,2.2600553329247357,0.49173337044801707,4.596099164198689,4.304738882967346e-6,1.4833933027092513e-4,Q9T065,UNIPROT:Q9T065
AT4G37800,639.5731075422929,1.5321522944741575,0.36157189031235143,4.237476240618638,2.260463315084228e-5,5.732687357838889e-4,Q8LER3,UNIPROT:Q8LER3
AT4G37930,2242.418849515223,1.103204168946702,0.24611952069546209,4.482391993245267,7.381100207016493e-6,2.3300533254904795e-4,Q9SZJ5,UNIPROT:Q9SZJ5
AT4G39210,683.0604034008629,2.0134838780113147,0.3225928528315882,6.241563817480072,4.332176167165604e-10,7.351996110458259e-8,P55231,UNIPROT:P55231
AT4G39330,4017.748771955098,1.1861106535125354,0.24597182805722323,4.822140254357084,1.4202602163247138e-6,6.0370420607655584e-5,P42734,UNIPROT:P42734
AT4G39510,59.4353765469027,1.7695496827487622,0.3904702902908744,4.53184205495011,5.847156278214702e-6,1.9071700051384978e-4,Q9SVA7,UNIPROT:Q9SVA7
AT5G01220,496.7936046238836,1.1428238552018193,0.2756877910746313,4.145355333825595,3.392871540813248e-5,8.033025606919913e-4,A0A178UMQ8,UNIPROT:A0A178UMQ8
AT5G02200,351.67319811877144,1.2387144939004255,0.339528883236457,3.6483331906633447,2.639471905672639e-4,0.003992028732707606,A8MR65,UNIPROT:A8MR65
AT5G02240,2584.885752218399,1.2209170936854608,0.21006475714159645,5.812098660902401,6.169446008950247e-9,6.923723250679658e-7,Q94EG6,UNIPROT:Q94EG6
AT5G02575,1170.161564198424,1.0708500657789866,0.3125636189825148,3.4260227382345843,6.124891055649645e-4,0.007744813222244713,NA,NA
AT5G02890,1065.2049396521406,1.2133050053560022,0.22086872631181195,5.4933309283593,3.94422701764933e-8,3.2609944327971807e-6,Q9LYZ6,UNIPROT:Q9LYZ6
AT5G03050,96.55117154599073,1.208738995389939,0.26513079295840875,4.559029081090384,5.139065543748581e-6,1.71535081237093e-4,A0A178UP55,UNIPROT:A0A178UP55
AT5G04120,456.56715049791245,3.6266011404354073,0.24626785371302823,14.726246587836934,4.373301887497677e-49,9.870979690271007e-45,F4KI56,UNIPROT:F4KI56
AT5G04140,5421.5433590191415,1.0685450265090652,0.2094202589445873,5.102395689386492,3.353806081623945e-7,1.8773762060739946e-5,Q0WW25,UNIPROT:Q0WW25
AT5G04160,438.37282585546876,1.1939575294894913,0.239837797532779,4.978187515778497,6.418246042318544e-7,3.16912872929186e-5,Q9FYE5,UNIPROT:Q9FYE5
AT5G04190,166.2517647415861,1.1595930587868937,0.3334482960876163,3.4775797999045737,5.059624179463588e-4,0.0066901451291548125,Q9FYE2,UNIPROT:Q9FYE2
AT5G04360,192.40616601602815,1.133364303127329,0.28841348792469557,3.9296508331928264,8.506930091770343e-5,0.0016740184751643278,Q8GTR4,UNIPROT:Q8GTR4
AT5G05270,357.5207443055167,3.266730237847264,0.8766550578850275,3.726357600363828,1.9426674108102924e-4,0.0031765549660403413,Q8VZW3,UNIPROT:Q8VZW3
AT5G05580,467.8896781543875,1.041425175976765,0.24598443538181403,4.233703544536375,2.2987393192488227e-5,5.798529011204351e-4,F4K0R2,UNIPROT:F4K0R2
AT5G06870,83.91025023961126,1.2246385221502385,0.33451688681994113,3.6609168935899463,2.5131427304807844e-4,0.003850926311587358,Q541D6,UNIPROT:Q541D6
AT5G07030,4200.789317441135,1.1545456673154593,0.2687040706102196,4.296718187757698,1.7334534120377644e-5,4.5868437236933627e-4,F4K5B9,UNIPROT:F4K5B9
AT5G08000,481.84835204318256,1.6920956102352216,0.2642741005350435,6.402805294992745,1.5254768265887575e-10,3.0203103028890215e-8,A0A1P8BHI7,UNIPROT:A0A1P8BHI7
AT5G08640,738.5923909201807,2.8504930804806117,0.46037959635984416,6.1916147088599365,5.955097553480207e-10,9.600893348542982e-8,Q96330,UNIPROT:Q96330
AT5G09995,226.96626523919429,1.0069138182850896,0.23103851555612204,4.3582076168616055,1.3113195821197561e-5,3.713650475285447e-4,F4KFE9,UNIPROT:F4KFE9
AT5G10100,207.80701157579742,1.2093639655028778,0.28149458374063147,4.296224635771974,1.7373153684927832e-5,4.59167976372958e-4,A0A178UDH6,UNIPROT:A0A178UDH6
AT5G13140,1879.5208005648997,1.2157257131763712,0.21040424367873853,5.778047495242706,7.557247770153446e-9,8.084106133655613e-7,Q9FY96,UNIPROT:Q9FY96
AT5G13220,128.65492222522866,1.2043325264707,0.30693473294431173,3.923741425149191,8.718431046291925e-5,0.0017067103828781877,A0A178UCP4,UNIPROT:A0A178UCP4
AT5G13400,830.5900941831414,1.0522919327777887,0.23623086120914746,4.454506610150906,8.40863386220949e-6,2.599880478136033e-4,Q9LYR6,UNIPROT:Q9LYR6
