gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,uniprot_id,ipath_id
AT2G46750,120.38608321157398,-1.554389919369064,0.3312920004740629,-4.691902965193265,2.7067550840184803e-6,1.0148533056707828e-4,Q6NQ66,UNIPROT:Q6NQ66
AT2G46790,36.66202885550275,-1.828058501477122,0.4541544297766921,-4.025191392223079,5.692899468056092e-5,0.0012237565132713721,A0A1P8B243,UNIPROT:A0A1P8B243
AT2G47160,2622.9780794915487,-1.5079028394461127,0.18155027680350677,-8.305703885420826,9.922942141590579e-17,9.332113628243373e-14,A8MS82,UNIPROT:A8MS82
AT2G47180,299.55030060308167,-1.132067847722487,0.33094927080836045,-3.420668808114771,6.246735425526527e-4,0.00786029743189825,O22893,UNIPROT:O22893
AT2G47860,296.38121802134725,-1.5748430817057646,0.2362837404251092,-6.665050582288863,2.645742168803662e-11,7.194824878562343e-9,A0A1P8B0E1,UNIPROT:A0A1P8B0E1
AT2G48130,254.02002989793635,-1.4206568689036543,0.3297439768704756,-4.308363362347912,1.6446703051206978e-5,4.408771194403714e-4,A0A384LDL4,UNIPROT:A0A384LDL4
AT2G48140,98.29210636943142,-1.8639139391770767,0.4313608729942665,-4.321008361835941,1.5531778719686906e-5,4.2493063937218563e-4,F4IN76,UNIPROT:F4IN76
AT3G01190,593.3780541498566,-1.2273223338760633,0.2117817970055484,-5.795221077682655,6.823123906010001e-9,7.439842013649841e-7,Q43735,UNIPROT:Q43735
AT3G01260,518.4544525567513,-2.414824886383291,0.27315345603130853,-8.840543046640079,9.52544790441277e-19,1.1944382480583367e-15,F4J5Z7,UNIPROT:F4J5Z7
AT3G01290,3361.0666148954924,-1.9295304008520497,0.34750418308501746,-5.552538630534951,2.815504695273915e-8,2.4536199411979744e-6,Q9SRH6,UNIPROT:Q9SRH6
AT3G01350,151.9089397843729,-1.5296914805289175,0.2540949893594069,-6.020156022696032,1.7424902756657527e-9,2.383621091639497e-7,Q9SRI2,UNIPROT:Q9SRI2
AT3G01420,7034.168285335722,-1.2506276978069601,0.25506142877837096,-4.903241167419559,9.42681304591912e-7,4.333454119336873e-5,Q9SGH6,UNIPROT:Q9SGH6
AT3G01670,216.5687758446811,-1.1519826615916489,0.2854253265207741,-4.036021174553352,5.436531171071869e-5,0.0011798840871371458,A0A1I9LMF2,UNIPROT:A0A1I9LMF2
AT3G01680,189.25213073688622,-1.0915608620569641,0.3249731406502262,-3.358926401957104,7.824590337507063e-4,0.009352022917283874,Q9SS87,UNIPROT:Q9SS87
AT3G01970,298.88366728568604,-1.3657092437128902,0.25497783206402375,-5.3561881543096925,8.499599896860128e-8,6.228716534806167e-6,Q9S763,UNIPROT:Q9S763
AT3G02620,554.9430707491373,-1.3161078345332367,0.36710834516478336,-3.5850665120197074,3.369923111309075e-4,0.0048478352164026215,A0A1I9LTN9,UNIPROT:A0A1I9LTN9
AT3G02673,8.098086470892259,-4.430759740952967,1.2755195239202257,-3.473690255508843,5.133532736224821e-4,0.006768047160591731,NA,NA
AT3G02850,170.86166376496396,-2.6438373407481177,0.29459464355270326,-8.974492234021671,2.8466171930069003e-19,4.2833997775572497e-16,A0A1I9LLU0,UNIPROT:A0A1I9LLU0
AT3G03520,706.5079544524859,-1.0003732276799127,0.23998456106483707,-4.168489936357364,3.0662429650099135e-5,7.37826971889539e-4,A0A1I9LPZ5,UNIPROT:A0A1I9LPZ5
AT3G03670,30.328306092497673,-4.143667850162608,0.858123622735149,-4.828753970150881,1.373900284541642e-6,5.884308030813928e-5,Q9SS67,UNIPROT:Q9SS67
AT3G04110,86.83352077872014,-1.151085376131302,0.3212839605719366,-3.582766391705913,3.399746248118407e-4,0.004873785677302026,A0A1I9LLK1,UNIPROT:A0A1I9LLK1
AT3G04570,423.129735841977,-1.3982547978089495,0.2685765032095976,-5.206169493977471,1.9277857531609428e-7,1.1888538861911376e-5,Q9SR17,UNIPROT:Q9SR17
