gene,Atha_WT_Col_0_sl_FLT_Rep1_G1S1,Atha_WT_Col_0_sl_FLT_Rep2_G1S2,Atha_WT_Col_0_sl_FLT_Rep3_G1S3,Atha_WT_Col_0_sl_GC_Rep1_G2S1,Atha_WT_Col_0_sl_GC_Rep2_G2S2,Atha_WT_Col_0_sl_GC_Rep3_G2S3
AT1G04390,264,99,136,184,194,209
AT1G04393,2,1,4,3,0,3
AT1G04397,0,0,0,0,0,0
AT1G04400,3445,2210,2109,3692,3506,4363
AT1G04403,0,0,0,0,1,0
AT1G04407,1,0,0,0,0,0
AT1G04410,19416,10131,10862,11179,14155,16045
AT1G04413,1,1,3,1,5,3
AT1G04417,0,0,0,0,1,0
AT1G04420,1348,946,974,671,876,949
AT1G04423,1,0,0,0,0,0
AT1G04425,15,11,11,1,14,8
AT1G04427,2,1,3,6,3,3
AT1G04430,5766,3040,2839,1950,2759,2858
AT1G04433,912,371,405,476,316,503
AT1G04437,0,1,0,1,0,0
AT1G04440,1383,1173,1201,1298,1989,2270
AT1G04443,0,0,0,2,0,1
AT1G04445,19,16,21,25,36,47
AT1G04447,1,0,1,1,4,0
AT1G04450,1,1,3,4,1,1
AT1G04453,2,0,0,0,1,1
AT1G04455,0,0,0,0,0,0
AT1G04463,137,65,58,79,86,84
AT1G04467,0,4,3,4,4,1
AT1G04470,5,13,20,30,35,15
AT1G04473,3,1,0,0,3,1
AT1G04477,4,5,1,0,1,10
AT1G04480,3134,1365,1594,1188,1488,2205
AT1G04483,0,0,2,2,1,2
AT1G04487,149,77,84,60,102,138
AT1G04490,19,15,23,22,28,34
AT1G04493,2,0,1,1,1,0
AT1G04497,2,0,1,0,0,0
AT1G04500,4,3,6,8,14,4
AT1G04503,1119,641,615,1193,899,1154
AT1G04507,3,1,3,0,0,1
AT1G04510,1581,886,936,1293,1138,1505
AT1G04513,272,212,232,414,254,285
AT1G04517,0,0,0,0,0,0
AT1G04520,513,343,287,118,247,236
AT1G04523,0,0,0,0,0,0
AT1G04527,0,0,0,0,0,0
AT1G04530,792,440,524,658,592,768
AT1G04533,8,6,4,14,24,31
AT1G04537,159,112,95,136,121,205
AT1G04540,181,63,74,111,81,140
AT1G04547,0,0,0,0,0,0
AT1G04550,406,255,285,427,337,523
AT1G04555,91,87,91,112,127,148
AT1G04557,1,0,0,0,0,0
AT1G04560,2936,84,66,660,122,592
AT1G04563,3,1,0,0,3,2
AT1G04567,0,2,2,0,2,2
AT1G04570,42,21,23,31,42,30
AT1G04573,0,0,1,0,1,2
AT1G04577,0,1,0,2,0,0
AT1G04580,42,8,10,46,42,24
AT1G04583,17,41,56,25,40,23
AT1G04587,3,4,5,1,5,3
AT1G04590,291,213,230,157,282,263
AT1G04593,0,0,0,1,1,0
AT1G04597,0,0,0,0,0,0
AT1G04600,20,18,19,19,11,16
AT1G04603,1,0,0,0,0,0
AT1G04607,0,2,1,0,8,0
AT1G04610,430,216,182,276,208,318
AT1G04620,1180,703,682,669,542,869
AT1G04623,0,0,0,0,0,0
AT1G04625,0,0,0,0,4,3
AT1G04630,813,441,495,384,541,579
AT1G04635,36,23,28,18,32,25
AT1G04640,337,256,236,145,238,241
AT1G04643,6,10,14,11,15,10
AT1G04645,0,0,2,2,1,2
AT1G04647,449,412,467,702,724,760
AT1G04650,90,46,42,47,58,45
AT1G04653,1,0,1,0,2,0
AT1G04657,0,1,0,0,1,0
AT1G04660,18,23,30,37,31,21
AT1G04667,0,0,0,0,0,0
AT1G04670,0,0,1,1,0,0
AT1G04673,1,2,0,0,0,1
AT1G04677,0,4,5,0,3,1
AT1G04680,4134,2504,2340,1722,3373,3059
AT1G04683,0,0,1,0,0,0
AT1G04687,0,0,0,0,0,0
AT1G04690,1715,813,812,768,1094,1198
AT1G04693,0,0,2,2,0,1
AT1G04697,3,3,5,3,3,6
AT1G04700,196,88,125,136,157,190
AT1G04703,0,0,0,0,0,1
AT1G04707,13,5,12,8,25,17
AT1G04710,494,271,295,170,261,259
AT1G04713,1,1,2,1,1,0
AT1G04717,0,0,0,0,2,0
AT1G04720,0,0,0,0,0,0
AT1G04723,2,7,1,1,4,3
AT1G04730,244,87,106,74,99,125
AT1G04733,136,293,361,15,212,243
AT1G04737,0,0,1,0,0,0
AT1G04743,14,12,20,18,26,29
AT1G04747,0,0,0,0,0,0
AT1G04750,1891,1010,1037,923,1189,1534
AT1G04753,1,0,0,4,1,0
AT1G04760,64,23,36,30,57,55
AT1G04763,1,0,0,6,0,0
AT1G04767,6,10,16,19,33,15
AT1G04770,1639,882,800,1185,522,1127
AT1G04773,61,54,57,45,59,62
AT1G04778,15,11,22,32,30,40
AT1G04780,1541,964,1085,1432,1640,1794
AT1G04783,1,0,1,5,3,1
AT1G04787,0,0,1,2,2,3
AT1G04790,684,375,415,458,467,566
AT1G04793,0,0,0,6,1,0
AT1G04797,1,1,3,3,0,2
AT1G04800,435,246,298,177,216,204
AT1G04803,12,2,5,11,10,8
AT1G04807,1,1,0,0,3,2
AT1G04810,2880,1537,1647,2281,2148,2872
AT1G04813,0,0,1,0,0,0
AT1G04817,0,3,2,0,1,1
AT1G04820,24629,14017,13866,9731,14868,14832
AT1G04823,90,49,41,24,39,37
AT1G04827,4,3,3,2,5,1
AT1G04830,489,297,340,378,452,539
AT1G04833,324,285,286,271,379,442
AT1G04837,188,140,125,121,160,202
AT1G04840,59,43,51,54,57,62
AT1G04847,1,0,0,1,1,0
AT1G04850,2483,1168,1252,1616,1488,2032
AT1G04853,0,0,0,0,0,0
AT1G04857,0,0,1,0,0,0
AT1G04860,1226,723,698,995,989,1228
AT1G04863,0,1,0,0,0,1
AT1G04867,0,0,0,0,0,0
AT1G04870,704,339,336,572,439,656
AT1G04873,47,31,32,20,44,37
AT1G04877,2,5,2,4,6,6
AT1G04880,12,6,8,24,14,18
AT1G04883,0,0,2,1,4,0
AT1G04887,2,7,10,15,6,9
AT1G04890,1,3,14,7,5,4
AT1G04893,0,1,2,3,2,2
AT1G04895,0,0,0,0,0,0
AT1G04897,264,92,261,50,267,304
AT1G04900,250,118,130,126,113,152
AT1G04907,130,73,115,18,62,69
AT1G04910,969,409,435,372,512,626
AT1G04913,0,1,2,0,0,2
AT1G04917,27,25,24,34,24,20
AT1G04920,282,28,45,142,40,102
AT1G04923,0,1,2,3,6,2
AT1G04927,1,0,1,0,1,0
AT1G04930,110,106,116,95,162,152
AT1G04933,22,12,22,13,24,29
