gene,Atha_WT.Col.0_sl_FLT_Rep1_G1S1,Atha_WT.Col.0_sl_FLT_Rep2_G1S2,Atha_WT.Col.0_sl_FLT_Rep3_G1S3,Atha_WT.Col.0_sl_GC_Rep1_G2S1,Atha_WT.Col.0_sl_GC_Rep2_G2S2,Atha_WT.Col.0_sl_GC_Rep3_G2S3
AT1G13110,741.1443526,1115.574815,912.1047632,1770.489098,1243.712657,1572.554566
AT1G13120,294.978739,223.3645323,239.5426651,221.4523697,275.1969476,216.9881495
AT1G13130,0,4.991386196,12.66812171,14.68816738,13.31598134,8.939586682
AT1G13140,19.72002712,12.47846549,21.88130114,37.28534796,30.18289103,18.69186306
AT1G13143,3.286671187,2.495693098,4.606589713,5.649295145,3.550928356,4.063448492
AT1G13150,19.72002712,13.72631204,20.72965371,25.98675767,22.19330223,20.31724246
AT1G13160,505.3256949,567.7701798,552.7907656,645.1495056,481.1507923,515.2452688
AT1G13170,815.9161221,647.6323589,612.6764319,494.8782547,487.3649169,467.2965766
AT1G13180,246.500339,185.9291358,171.5954668,203.3746252,153.5776514,201.5470452
AT1G13190,719.7809899,557.7874074,612.6764319,1015.743267,648.9321571,835.4450099
AT1G13195,143.7918644,208.3903737,154.3207554,133.3233654,170.4445611,163.3506294
AT1G13200,6.573342373,13.72631204,12.66812171,20.33746252,15.09144551,13.00303517
AT1G13210,1316.31181,1650.900984,1377.370324,1386.337029,1633.427044,1540.046978
AT1G13220,374.6805153,299.4831717,238.3910177,354.7757351,302.7166424,308.8220854
AT1G13230,15.61168814,8.734925842,10.36482685,10.16873126,6.214124623,8.939586682
AT1G13240,0,0,0,0,0,0
AT1G13245,310.5904271,549.0524815,426.1095485,549.1114881,427.8868669,480.2996117
AT1G13250,1951.461017,1603.482815,1669.888771,1129.859029,853.9982697,1019.925571
AT1G13260,6132.106766,4831.661837,4296.796555,4719.421164,4131.505143,4114.647943
